INFO:root:2020-05-25 14:15:04, Start communication round 1 of FL - FedProx ...
INFO:root:2020-05-25 14:15:04, Start local training process for client A, communication round: 1 ...
INFO:root:2020-05-25 14:15:12, Train, Epoch : 1, Step : 10, Loss : 0.96155 0.86440 0.62837 0.96442 0.88281, Acc : 0.588 0.487 0.487 0.450 0.525, Run Time : 7.32 sec
INFO:root:2020-05-25 14:15:19, Train, Epoch : 1, Step : 20, Loss : 1.00016 0.90827 0.67932 0.86737 0.75367, Acc : 0.438 0.588 0.475 0.550 0.500, Run Time : 7.06 sec
INFO:root:2020-05-25 14:15:26, Train, Epoch : 1, Step : 30, Loss : 0.70829 0.71943 0.76847 1.03972 0.72632, Acc : 0.537 0.600 0.575 0.487 0.562, Run Time : 7.05 sec
INFO:root:2020-05-25 14:15:33, Train, Epoch : 1, Step : 40, Loss : 0.78891 0.73780 0.98799 0.93382 0.75048, Acc : 0.550 0.650 0.487 0.500 0.637, Run Time : 7.05 sec
INFO:root:2020-05-25 14:15:40, Train, Epoch : 1, Step : 50, Loss : 1.03590 0.88506 0.64900 0.88519 0.89482, Acc : 0.450 0.588 0.500 0.525 0.487, Run Time : 7.05 sec
INFO:root:2020-05-25 14:15:47, Train, Epoch : 1, Step : 60, Loss : 0.93357 0.87770 0.73699 0.93507 0.74982, Acc : 0.500 0.588 0.463 0.662 0.525, Run Time : 7.07 sec
INFO:root:2020-05-25 14:15:54, Train, Epoch : 1, Step : 70, Loss : 0.94688 0.81286 0.78905 1.05909 0.87045, Acc : 0.537 0.662 0.463 0.525 0.537, Run Time : 7.06 sec
INFO:root:2020-05-25 14:16:02, Train, Epoch : 1, Step : 80, Loss : 0.93377 0.62667 0.74536 0.94207 0.84029, Acc : 0.613 0.600 0.600 0.600 0.600, Run Time : 7.06 sec
INFO:root:2020-05-25 14:16:09, Train, Epoch : 1, Step : 90, Loss : 1.00173 0.71449 0.65484 0.94514 0.67246, Acc : 0.575 0.637 0.537 0.512 0.575, Run Time : 7.04 sec
INFO:root:2020-05-25 14:16:16, Train, Epoch : 1, Step : 100, Loss : 0.95069 0.92186 0.70339 1.00204 0.64093, Acc : 0.562 0.625 0.463 0.450 0.637, Run Time : 7.05 sec
INFO:root:2020-05-25 14:16:19, Dev, Step : 100, Loss : 0.93620 0.84077 0.51815 0.85085 0.74472, Acc : 0.596 0.787 0.613 0.571 0.700, Auc : 0.578 0.667 0.752 0.626 0.685,Mean auc: 0.662 Run Time : 3.61 sec
