INFO:root:2020-05-21 00:39:40, Start communication round 1 of FL - FedAvg ...
INFO:root:2020-05-21 00:39:40, Start local training process for client A, communication round: 1 ...
INFO:root:2020-05-21 00:39:45, Train, Epoch : 1, Step : 10, Loss : 0.70331 0.83140 0.81129 0.95342 0.82668, Acc : 0.487 0.525 0.575 0.487 0.525, Run Time : 4.80 sec
INFO:root:2020-05-21 00:39:49, Train, Epoch : 1, Step : 20, Loss : 0.76558 0.70086 0.65943 0.97336 0.84274, Acc : 0.463 0.525 0.562 0.487 0.525, Run Time : 4.34 sec
INFO:root:2020-05-21 00:39:54, Train, Epoch : 1, Step : 30, Loss : 1.06905 0.56799 0.77731 0.66532 0.90920, Acc : 0.438 0.675 0.562 0.450 0.525, Run Time : 4.38 sec
INFO:root:2020-05-21 00:39:58, Train, Epoch : 1, Step : 40, Loss : 1.10872 0.98040 0.78022 0.75586 0.86189, Acc : 0.512 0.625 0.450 0.562 0.575, Run Time : 4.45 sec
INFO:root:2020-05-21 00:40:03, Train, Epoch : 1, Step : 50, Loss : 0.74727 0.75463 0.41629 0.89274 1.01950, Acc : 0.525 0.637 0.550 0.487 0.588, Run Time : 4.37 sec
INFO:root:2020-05-21 00:40:07, Train, Epoch : 1, Step : 60, Loss : 0.98092 0.74392 0.70852 0.96084 0.81453, Acc : 0.562 0.662 0.525 0.525 0.537, Run Time : 4.39 sec
INFO:root:2020-05-21 00:40:11, Train, Epoch : 1, Step : 70, Loss : 0.95748 0.61717 0.80362 0.95587 0.75046, Acc : 0.512 0.575 0.525 0.438 0.637, Run Time : 4.39 sec
INFO:root:2020-05-21 00:40:16, Train, Epoch : 1, Step : 80, Loss : 0.89681 0.84384 0.44489 0.62200 0.73926, Acc : 0.525 0.600 0.550 0.562 0.475, Run Time : 4.39 sec
INFO:root:2020-05-21 00:40:20, Train, Epoch : 1, Step : 90, Loss : 0.92173 0.91339 0.46808 0.88146 0.89619, Acc : 0.625 0.575 0.575 0.438 0.575, Run Time : 4.41 sec
INFO:root:2020-05-21 00:40:25, Train, Epoch : 1, Step : 100, Loss : 0.92940 0.85167 0.79953 0.92979 0.80832, Acc : 0.588 0.600 0.500 0.613 0.637, Run Time : 4.41 sec
INFO:root:2020-05-21 00:40:29, Dev, Step : 100, Loss : 0.91421 0.67320 0.52557 0.81074 0.73823, Acc : 0.608 0.662 0.542 0.658 0.654, Auc : 0.659 0.796 0.762 0.680 0.688,Mean auc: 0.717 Run Time : 4.63 sec
INFO:root:2020-05-21 00:40:34, Train, Epoch : 1, Step : 110, Loss : 0.81584 0.65392 0.81002 0.67843 0.65077, Acc : 0.588 0.650 0.613 0.588 0.650, Run Time : 9.10 sec
INFO:root:2020-05-21 00:40:38, Train, Epoch : 1, Step : 120, Loss : 0.93151 0.78725 0.61912 1.15257 0.69219, Acc : 0.562 0.713 0.512 0.500 0.625, Run Time : 4.43 sec
INFO:root:2020-05-21 00:40:43, Train, Epoch : 1, Step : 130, Loss : 0.95021 0.85733 0.81658 1.03233 0.75080, Acc : 0.562 0.600 0.562 0.487 0.688, Run Time : 4.45 sec
INFO:root:2020-05-21 00:40:47, Train, Epoch : 1, Step : 140, Loss : 0.91582 0.86707 0.72376 1.09614 0.60268, Acc : 0.512 0.600 0.588 0.463 0.637, Run Time : 4.45 sec
INFO:root:2020-05-21 00:40:51, Train, Epoch : 1, Step : 150, Loss : 0.92184 0.66000 1.02344 0.65503 0.73057, Acc : 0.575 0.688 0.600 0.550 0.700, Run Time : 4.44 sec
INFO:root:2020-05-21 00:40:56, Train, Epoch : 1, Step : 160, Loss : 0.71918 0.79694 0.62336 0.76698 0.71635, Acc : 0.600 0.688 0.637 0.512 0.637, Run Time : 4.46 sec
