INFO:root:2020-05-21 05:13:01, Start communication round 1 of FL - WFedAvg ...
INFO:root:2020-05-21 05:13:01, Start local training process for client A, communication round: 1 ...
INFO:root:2020-05-21 05:13:07, Train, Epoch : 1, Step : 10, Loss : 0.71266 0.81092 0.81412 0.95472 0.81948, Acc : 0.487 0.550 0.550 0.500 0.550, Run Time : 5.04 sec
INFO:root:2020-05-21 05:13:11, Train, Epoch : 1, Step : 20, Loss : 0.72881 0.70392 0.65204 0.97389 0.84761, Acc : 0.500 0.550 0.550 0.500 0.525, Run Time : 4.52 sec
INFO:root:2020-05-21 05:13:16, Train, Epoch : 1, Step : 30, Loss : 1.01194 0.57662 0.77628 0.66821 0.87598, Acc : 0.500 0.675 0.475 0.438 0.588, Run Time : 4.54 sec
INFO:root:2020-05-21 05:13:20, Train, Epoch : 1, Step : 40, Loss : 1.06780 0.94951 0.72025 0.82308 0.85394, Acc : 0.550 0.600 0.537 0.450 0.613, Run Time : 4.53 sec
INFO:root:2020-05-21 05:13:25, Train, Epoch : 1, Step : 50, Loss : 0.79421 0.75595 0.43402 0.84478 1.02825, Acc : 0.512 0.650 0.537 0.438 0.575, Run Time : 4.54 sec
INFO:root:2020-05-21 05:13:30, Train, Epoch : 1, Step : 60, Loss : 0.98671 0.72427 0.76931 0.97293 0.76240, Acc : 0.525 0.762 0.463 0.438 0.600, Run Time : 4.55 sec
INFO:root:2020-05-21 05:13:34, Train, Epoch : 1, Step : 70, Loss : 0.91913 0.64700 0.77641 0.95397 0.77894, Acc : 0.588 0.588 0.537 0.450 0.562, Run Time : 4.58 sec
INFO:root:2020-05-21 05:13:39, Train, Epoch : 1, Step : 80, Loss : 0.87624 0.77160 0.39226 0.68925 0.70539, Acc : 0.575 0.675 0.575 0.525 0.575, Run Time : 4.55 sec
INFO:root:2020-05-21 05:13:43, Train, Epoch : 1, Step : 90, Loss : 0.95752 0.92108 0.46644 0.86766 0.86496, Acc : 0.512 0.588 0.550 0.588 0.662, Run Time : 4.57 sec
INFO:root:2020-05-21 05:13:48, Train, Epoch : 1, Step : 100, Loss : 0.98071 0.75241 0.86310 0.94458 0.81477, Acc : 0.487 0.688 0.450 0.562 0.625, Run Time : 4.60 sec
INFO:root:2020-05-21 05:13:53, Dev, Step : 100, Loss : 0.95697 0.69657 0.52260 0.79438 0.73033, Acc : 0.721 0.596 0.467 0.658 0.713, Auc : 0.638 0.772 0.721 0.683 0.689,Mean auc: 0.701 Run Time : 4.88 sec
INFO:root:2020-05-21 05:13:57, Train, Epoch : 1, Step : 110, Loss : 0.82909 0.63336 0.76579 0.70046 0.61965, Acc : 0.600 0.650 0.675 0.562 0.650, Run Time : 9.44 sec
INFO:root:2020-05-21 05:14:02, Train, Epoch : 1, Step : 120, Loss : 0.81555 0.86026 0.57316 1.03093 0.66242, Acc : 0.650 0.637 0.512 0.525 0.637, Run Time : 4.54 sec
INFO:root:2020-05-21 05:14:06, Train, Epoch : 1, Step : 130, Loss : 0.97423 0.85030 0.89686 0.98774 0.80228, Acc : 0.600 0.637 0.575 0.588 0.562, Run Time : 4.54 sec
INFO:root:2020-05-21 05:14:11, Train, Epoch : 1, Step : 140, Loss : 0.86312 0.87668 0.78271 1.11139 0.57154, Acc : 0.562 0.625 0.575 0.537 0.662, Run Time : 4.54 sec
INFO:root:2020-05-21 05:14:15, Train, Epoch : 1, Step : 150, Loss : 0.91418 0.64671 0.97345 0.71142 0.73900, Acc : 0.512 0.662 0.562 0.512 0.650, Run Time : 4.55 sec
INFO:root:2020-05-21 05:14:20, Train, Epoch : 1, Step : 160, Loss : 0.74034 0.78619 0.75918 0.87797 0.70547, Acc : 0.562 0.625 0.550 0.475 0.600, Run Time : 4.56 sec
INFO:root:2020-05-21 05:14:25, Train, Epoch : 1, Step : 170, Loss : 0.85544 0.59209 0.47258 0.80982 0.68916, Acc : 0.537 0.688 0.537 0.550 0.625, Run Time : 4.55 sec
INFO:root:2020-05-21 05:14:29, Train, Epoch : 1, Step : 180, Loss : 0.71076 0.94075 0.79021 0.84533 0.83151, Acc : 0.588 0.713 0.512 0.525 0.588, Run Time : 4.54 sec
INFO:root:2020-05-21 05:14:34, Train, Epoch : 1, Step : 190, Loss : 0.97212 0.78519 0.76046 0.92358 0.80067, Acc : 0.512 0.625 0.475 0.588 0.650, Run Time : 4.56 sec
INFO:root:2020-05-21 05:14:38, Train, Epoch : 1, Step : 200, Loss : 0.83645 0.81437 0.75281 0.79492 0.84218, Acc : 0.537 0.637 0.537 0.675 0.650, Run Time : 4.54 sec
INFO:root:2020-05-21 05:14:43, Dev, Step : 200, Loss : 0.93896 0.68080 0.57086 0.78971 0.77386, Acc : 0.721 0.688 0.271 0.671 0.588, Auc : 0.691 0.808 0.585 0.718 0.613,Mean auc: 0.683 Run Time : 4.77 sec
INFO:root:2020-05-21 05:14:47, Train, Epoch : 1, Step : 210, Loss : 0.73909 0.74625 0.50568 1.11213 0.71334, Acc : 0.600 0.637 0.600 0.475 0.637, Run Time : 9.35 sec
INFO:root:2020-05-21 05:14:52, Train, Epoch : 1, Step : 220, Loss : 1.01718 0.75360 0.42852 0.79192 0.60419, Acc : 0.475 0.700 0.588 0.537 0.650, Run Time : 4.56 sec
INFO:root:2020-05-21 05:14:57, Train, Epoch : 1, Step : 230, Loss : 0.93059 0.80462 0.50534 0.87283 0.77364, Acc : 0.613 0.662 0.613 0.512 0.700, Run Time : 4.61 sec
INFO:root:2020-05-21 05:15:01, Train, Epoch : 1, Step : 240, Loss : 0.87551 1.00460 0.84796 0.94934 0.75443, Acc : 0.537 0.550 0.512 0.537 0.625, Run Time : 4.66 sec
INFO:root:2020-05-21 05:15:06, Train, Epoch : 1, Step : 250, Loss : 0.79115 0.70211 0.67886 0.93789 0.66228, Acc : 0.588 0.725 0.463 0.562 0.700, Run Time : 4.56 sec
INFO:root:2020-05-21 05:15:10, Train, Epoch : 1, Step : 260, Loss : 1.08531 0.76997 0.71389 0.78300 0.75250, Acc : 0.550 0.562 0.588 0.575 0.613, Run Time : 4.54 sec
INFO:root:2020-05-21 05:15:15, Train, Epoch : 1, Step : 270, Loss : 0.86041 0.71819 0.54839 0.73542 0.71951, Acc : 0.637 0.700 0.600 0.625 0.738, Run Time : 4.54 sec
INFO:root:2020-05-21 05:15:20, Train, Epoch : 1, Step : 280, Loss : 0.66709 0.85678 1.03668 0.90287 0.77356, Acc : 0.525 0.650 0.575 0.550 0.713, Run Time : 4.55 sec
INFO:root:2020-05-21 05:15:24, Train, Epoch : 1, Step : 290, Loss : 0.54885 0.71902 0.79507 0.70351 0.59996, Acc : 0.562 0.675 0.613 0.650 0.625, Run Time : 4.56 sec
