INFO:root:2020-05-24 01:56:55, Train, Epoch : 1, Step : 10, Loss : 1.11104 0.91490 0.55640 0.96145 0.75618, Acc : 0.487 0.525 0.625 0.575 0.512, Run Time : 4.13 sec
INFO:root:2020-05-24 01:56:59, Train, Epoch : 1, Step : 20, Loss : 0.68602 0.86824 0.58697 1.04449 0.83368, Acc : 0.537 0.662 0.475 0.438 0.613, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:03, Train, Epoch : 1, Step : 30, Loss : 0.86669 0.75239 0.90638 0.98160 0.86313, Acc : 0.512 0.600 0.575 0.362 0.438, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:07, Train, Epoch : 1, Step : 40, Loss : 0.81445 0.89320 0.82579 0.72439 0.83355, Acc : 0.450 0.600 0.525 0.512 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:11, Train, Epoch : 1, Step : 50, Loss : 0.84299 0.71869 0.61977 1.00986 0.78981, Acc : 0.562 0.613 0.537 0.450 0.525, Run Time : 3.95 sec
INFO:root:2020-05-24 01:57:15, Train, Epoch : 1, Step : 60, Loss : 0.77136 0.81044 0.57686 0.81422 0.84664, Acc : 0.400 0.600 0.512 0.562 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:19, Train, Epoch : 1, Step : 70, Loss : 0.84524 0.84835 0.98218 1.06515 0.81919, Acc : 0.463 0.600 0.562 0.438 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:23, Train, Epoch : 1, Step : 80, Loss : 0.86250 0.81433 0.65936 0.97447 0.83210, Acc : 0.475 0.625 0.550 0.450 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:26, Train, Epoch : 1, Step : 90, Loss : 0.94357 0.88661 0.77861 0.78141 0.69287, Acc : 0.537 0.588 0.525 0.537 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 01:57:30, Train, Epoch : 1, Step : 100, Loss : 0.82843 0.78364 0.55396 0.74238 0.62812, Acc : 0.487 0.688 0.525 0.613 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:34, Train, Epoch : 1, Step : 110, Loss : 1.17613 0.67535 0.85728 0.75436 0.66944, Acc : 0.537 0.537 0.562 0.463 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:38, Train, Epoch : 1, Step : 120, Loss : 0.95021 0.80861 0.60726 0.82108 0.62714, Acc : 0.525 0.625 0.450 0.562 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:42, Train, Epoch : 1, Step : 130, Loss : 0.58160 0.87285 0.97965 0.75856 0.68488, Acc : 0.463 0.613 0.500 0.537 0.738, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:46, Train, Epoch : 1, Step : 140, Loss : 0.84554 0.73620 0.71598 0.99194 0.71138, Acc : 0.550 0.613 0.487 0.463 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:50, Train, Epoch : 1, Step : 150, Loss : 0.33236 0.76509 0.85410 0.94702 0.71910, Acc : 0.463 0.613 0.500 0.575 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:54, Train, Epoch : 1, Step : 160, Loss : 0.65983 1.04834 0.82659 0.78705 0.82051, Acc : 0.425 0.637 0.562 0.562 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 01:57:58, Train, Epoch : 1, Step : 170, Loss : 0.76868 0.89593 0.46270 0.92999 0.49552, Acc : 0.625 0.688 0.550 0.537 0.750, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:02, Train, Epoch : 1, Step : 180, Loss : 0.95491 0.73578 0.70709 0.94900 0.78029, Acc : 0.575 0.637 0.500 0.550 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:06, Train, Epoch : 1, Step : 190, Loss : 0.98590 0.82892 0.64679 0.95111 1.02625, Acc : 0.588 0.675 0.525 0.550 0.550, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:10, Train, Epoch : 1, Step : 200, Loss : 0.78945 0.72398 0.66744 0.84301 0.77351, Acc : 0.562 0.700 0.600 0.600 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:14, Train, Epoch : 1, Step : 210, Loss : 0.80381 0.78618 0.74940 0.85375 0.58081, Acc : 0.613 0.600 0.475 0.450 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:18, Train, Epoch : 1, Step : 220, Loss : 0.82190 0.78850 0.82740 1.05505 0.76883, Acc : 0.550 0.662 0.562 0.512 0.550, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:22, Train, Epoch : 1, Step : 230, Loss : 0.64286 0.72113 1.07342 0.90651 0.64686, Acc : 0.487 0.613 0.487 0.537 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:26, Train, Epoch : 1, Step : 240, Loss : 0.71756 0.68920 0.58887 0.98773 0.78546, Acc : 0.575 0.688 0.575 0.562 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:30, Train, Epoch : 1, Step : 250, Loss : 0.77462 0.69742 0.70384 0.83109 0.77903, Acc : 0.650 0.738 0.450 0.562 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:33, Train, Epoch : 1, Step : 260, Loss : 0.81738 0.73897 0.73442 1.16106 0.92854, Acc : 0.500 0.725 0.487 0.512 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:37, Train, Epoch : 1, Step : 270, Loss : 0.71705 1.02395 0.79814 0.94852 0.64864, Acc : 0.525 0.600 0.562 0.475 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:41, Train, Epoch : 1, Step : 280, Loss : 0.90008 0.91467 0.77399 0.90034 0.68933, Acc : 0.562 0.662 0.550 0.525 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:45, Train, Epoch : 1, Step : 290, Loss : 0.88197 0.70000 0.86261 0.82368 0.65989, Acc : 0.550 0.688 0.525 0.600 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 01:58:49, Train, Epoch : 1, Step : 300, Loss : 0.94872 0.62930 0.44280 1.06398 0.64062, Acc : 0.512 0.650 0.613 0.512 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 01:58:53, Train, Epoch : 1, Step : 310, Loss : 0.81239 0.73015 0.88197 0.75029 0.59038, Acc : 0.500 0.625 0.650 0.562 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 01:58:57, Train, Epoch : 1, Step : 320, Loss : 0.81508 1.07815 0.99789 0.85919 0.81477, Acc : 0.575 0.637 0.512 0.525 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 01:59:01, Train, Epoch : 1, Step : 330, Loss : 0.87402 0.78437 1.16277 0.86272 0.73540, Acc : 0.613 0.662 0.537 0.525 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 01:59:05, Train, Epoch : 1, Step : 340, Loss : 1.08028 0.70122 1.11645 0.85156 0.57976, Acc : 0.550 0.713 0.537 0.550 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 01:59:09, Train, Epoch : 1, Step : 350, Loss : 0.80328 0.63835 0.72268 1.01342 0.66342, Acc : 0.600 0.637 0.575 0.537 0.675, Run Time : 3.94 sec
