INFO:root:2020-05-24 02:40:54, Train, Epoch : 1, Step : 10, Loss : 0.79177 0.87254 0.89247 0.90480 0.73852, Acc : 0.525 0.613 0.537 0.500 0.537, Run Time : 4.13 sec
INFO:root:2020-05-24 02:40:58, Train, Epoch : 1, Step : 20, Loss : 0.71778 0.83283 1.15071 0.54046 0.84936, Acc : 0.500 0.525 0.475 0.438 0.537, Run Time : 3.94 sec
INFO:root:2020-05-24 02:41:02, Train, Epoch : 1, Step : 30, Loss : 0.92856 0.75558 0.74719 0.74929 0.86238, Acc : 0.562 0.613 0.600 0.463 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 02:41:06, Train, Epoch : 1, Step : 40, Loss : 0.71507 0.96065 1.00344 0.96955 0.84013, Acc : 0.487 0.550 0.450 0.600 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 02:41:10, Train, Epoch : 1, Step : 50, Loss : 0.99522 0.99782 0.70825 1.10171 0.89188, Acc : 0.550 0.613 0.525 0.487 0.575, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:14, Train, Epoch : 1, Step : 60, Loss : 0.84893 0.87189 0.51190 0.95361 0.80568, Acc : 0.550 0.600 0.463 0.475 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 02:41:18, Train, Epoch : 1, Step : 70, Loss : 0.64852 0.84210 0.89964 0.95608 0.87689, Acc : 0.600 0.575 0.438 0.550 0.525, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:22, Train, Epoch : 1, Step : 80, Loss : 0.62478 0.85487 0.55895 0.84949 0.82423, Acc : 0.537 0.625 0.600 0.475 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:26, Train, Epoch : 1, Step : 90, Loss : 1.07288 0.79057 0.37983 0.98508 0.85875, Acc : 0.463 0.650 0.487 0.475 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 02:41:30, Train, Epoch : 1, Step : 100, Loss : 0.96437 0.74777 0.56783 0.99075 0.59280, Acc : 0.588 0.537 0.550 0.525 0.750, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:33, Train, Epoch : 1, Step : 110, Loss : 0.71581 0.76869 0.33659 0.97398 0.74289, Acc : 0.600 0.650 0.537 0.500 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 02:41:37, Train, Epoch : 1, Step : 120, Loss : 0.95394 0.80380 0.94093 0.87430 0.64355, Acc : 0.525 0.625 0.412 0.475 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:41, Train, Epoch : 1, Step : 130, Loss : 0.41824 0.70831 0.79425 0.76261 0.68594, Acc : 0.562 0.713 0.537 0.487 0.613, Run Time : 3.93 sec
INFO:root:2020-05-24 02:41:45, Train, Epoch : 1, Step : 140, Loss : 0.83813 0.77703 1.18073 0.89705 0.59476, Acc : 0.562 0.688 0.487 0.463 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:49, Train, Epoch : 1, Step : 150, Loss : 0.54030 0.82137 0.85087 0.88512 0.57868, Acc : 0.550 0.662 0.525 0.575 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:53, Train, Epoch : 1, Step : 160, Loss : 0.66099 0.90226 0.61135 0.94880 0.65972, Acc : 0.575 0.562 0.562 0.525 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 02:41:57, Train, Epoch : 1, Step : 170, Loss : 0.63320 0.76711 0.64601 1.11119 0.62950, Acc : 0.588 0.713 0.500 0.588 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:01, Train, Epoch : 1, Step : 180, Loss : 1.06044 0.80345 0.68236 0.92808 0.66778, Acc : 0.613 0.637 0.475 0.475 0.713, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:05, Train, Epoch : 1, Step : 190, Loss : 0.55853 0.68332 0.98629 0.83796 0.66187, Acc : 0.562 0.688 0.487 0.512 0.700, Run Time : 3.96 sec
INFO:root:2020-05-24 02:42:09, Train, Epoch : 1, Step : 200, Loss : 0.85349 0.75396 0.81360 0.83561 0.69779, Acc : 0.588 0.688 0.475 0.525 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:13, Train, Epoch : 1, Step : 210, Loss : 0.72418 0.90694 0.81906 1.02741 0.68887, Acc : 0.550 0.613 0.500 0.562 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:17, Train, Epoch : 1, Step : 220, Loss : 1.00631 0.76835 0.62699 0.94990 0.72812, Acc : 0.537 0.662 0.450 0.512 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:21, Train, Epoch : 1, Step : 230, Loss : 0.98649 0.75419 0.89055 0.89341 0.71319, Acc : 0.637 0.650 0.412 0.512 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:25, Train, Epoch : 1, Step : 240, Loss : 0.82259 0.78506 0.50187 0.78628 0.51758, Acc : 0.613 0.675 0.537 0.575 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 02:42:29, Train, Epoch : 1, Step : 250, Loss : 0.65860 0.74734 0.54474 0.91010 0.73446, Acc : 0.575 0.662 0.562 0.525 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 02:42:33, Train, Epoch : 1, Step : 260, Loss : 0.87180 0.61371 0.81662 0.80067 0.59272, Acc : 0.537 0.675 0.537 0.613 0.713, Run Time : 3.95 sec
