INFO:root:2020-05-24 03:02:58, Train, Epoch : 1, Step : 10, Loss : 0.95594 0.84786 0.46658 0.83217 0.83860, Acc : 0.550 0.650 0.525 0.550 0.500, Run Time : 4.12 sec
INFO:root:2020-05-24 03:03:02, Train, Epoch : 1, Step : 20, Loss : 0.50481 0.79642 0.73224 0.84037 0.71577, Acc : 0.600 0.537 0.500 0.487 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:06, Train, Epoch : 1, Step : 30, Loss : 0.93148 0.81072 0.66214 0.89406 0.75082, Acc : 0.500 0.588 0.500 0.575 0.500, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:10, Train, Epoch : 1, Step : 40, Loss : 1.13652 0.92620 1.09584 0.98008 0.68209, Acc : 0.463 0.537 0.463 0.475 0.613, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:14, Train, Epoch : 1, Step : 50, Loss : 0.71589 0.73994 0.58144 0.91937 0.79805, Acc : 0.562 0.662 0.525 0.512 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:18, Train, Epoch : 1, Step : 60, Loss : 1.07568 0.77354 0.60374 0.87858 0.93872, Acc : 0.525 0.575 0.537 0.475 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:22, Train, Epoch : 1, Step : 70, Loss : 1.05149 0.76799 0.90672 1.04399 0.75533, Acc : 0.500 0.600 0.562 0.525 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:26, Train, Epoch : 1, Step : 80, Loss : 1.01388 0.97654 0.62327 0.84941 0.72951, Acc : 0.425 0.613 0.588 0.575 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:30, Train, Epoch : 1, Step : 90, Loss : 0.85429 0.91037 0.60325 1.03233 0.68793, Acc : 0.525 0.637 0.512 0.500 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 03:03:34, Train, Epoch : 1, Step : 100, Loss : 1.19631 0.65848 0.86842 0.90748 0.69170, Acc : 0.475 0.613 0.550 0.512 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:38, Train, Epoch : 1, Step : 110, Loss : 0.73836 0.79225 0.58325 1.06410 0.73373, Acc : 0.512 0.688 0.525 0.500 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:42, Train, Epoch : 1, Step : 120, Loss : 0.81279 0.84376 0.74386 0.77147 0.78002, Acc : 0.637 0.675 0.500 0.613 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:03:46, Train, Epoch : 1, Step : 130, Loss : 0.86921 0.76323 0.59970 1.00446 0.90519, Acc : 0.613 0.700 0.500 0.475 0.537, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:50, Train, Epoch : 1, Step : 140, Loss : 0.92659 0.80848 0.45101 1.01605 0.78784, Acc : 0.475 0.588 0.475 0.588 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:54, Train, Epoch : 1, Step : 150, Loss : 1.05546 0.74580 1.07373 0.62829 0.77729, Acc : 0.550 0.550 0.562 0.512 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 03:03:58, Train, Epoch : 1, Step : 160, Loss : 0.99087 0.78246 0.77637 1.04783 0.71189, Acc : 0.512 0.650 0.613 0.475 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:01, Train, Epoch : 1, Step : 170, Loss : 0.71856 0.59797 0.57424 0.80260 0.79602, Acc : 0.588 0.650 0.575 0.613 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:05, Train, Epoch : 1, Step : 180, Loss : 0.87791 0.69979 0.75764 0.94892 0.58865, Acc : 0.500 0.675 0.575 0.450 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:09, Train, Epoch : 1, Step : 190, Loss : 1.00450 0.71429 0.76293 1.04522 0.67746, Acc : 0.588 0.625 0.550 0.525 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:13, Train, Epoch : 1, Step : 200, Loss : 1.10434 0.92673 0.49543 0.98098 0.73234, Acc : 0.625 0.600 0.562 0.487 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:17, Train, Epoch : 1, Step : 210, Loss : 1.16311 0.77726 0.38137 0.63436 0.68071, Acc : 0.487 0.637 0.537 0.650 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:21, Train, Epoch : 1, Step : 220, Loss : 0.81178 0.86415 0.44515 1.05496 0.68422, Acc : 0.588 0.588 0.463 0.512 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:25, Train, Epoch : 1, Step : 230, Loss : 0.90494 0.72759 0.47210 1.07179 0.58301, Acc : 0.537 0.588 0.575 0.475 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:29, Train, Epoch : 1, Step : 240, Loss : 0.85337 0.77690 0.69778 0.89931 0.87051, Acc : 0.475 0.662 0.613 0.525 0.713, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:33, Train, Epoch : 1, Step : 250, Loss : 0.78507 0.80923 1.01730 0.98333 0.63360, Acc : 0.575 0.662 0.550 0.475 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:37, Train, Epoch : 1, Step : 260, Loss : 0.94033 0.69160 0.74402 0.90265 0.71042, Acc : 0.600 0.662 0.613 0.562 0.738, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:41, Train, Epoch : 1, Step : 270, Loss : 0.60938 0.73408 0.47019 1.03614 0.65572, Acc : 0.613 0.688 0.600 0.512 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:45, Train, Epoch : 1, Step : 280, Loss : 0.68423 0.72586 0.83353 1.01103 0.80938, Acc : 0.438 0.688 0.700 0.525 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:49, Train, Epoch : 1, Step : 290, Loss : 0.80470 1.10000 0.75027 1.00057 0.67296, Acc : 0.562 0.637 0.600 0.525 0.700, Run Time : 3.95 sec
INFO:root:2020-05-24 03:04:53, Train, Epoch : 1, Step : 300, Loss : 0.76147 0.82119 0.78771 0.95261 0.58022, Acc : 0.537 0.588 0.537 0.463 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:04:57, Train, Epoch : 1, Step : 310, Loss : 0.99608 0.71289 0.52197 0.76800 0.58771, Acc : 0.487 0.688 0.675 0.487 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:01, Train, Epoch : 1, Step : 320, Loss : 0.66434 0.90826 0.98929 0.74731 0.95491, Acc : 0.550 0.613 0.575 0.637 0.575, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:05, Train, Epoch : 1, Step : 330, Loss : 0.85019 0.65577 0.67162 0.80963 0.73954, Acc : 0.537 0.700 0.525 0.512 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:09, Train, Epoch : 1, Step : 340, Loss : 1.06831 0.86538 0.70764 0.90738 0.58832, Acc : 0.625 0.637 0.562 0.537 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:12, Train, Epoch : 1, Step : 350, Loss : 0.75677 0.83461 0.70297 0.99004 0.54872, Acc : 0.625 0.637 0.575 0.500 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:16, Train, Epoch : 1, Step : 360, Loss : 0.73617 0.51879 0.65848 0.96214 0.76453, Acc : 0.600 0.688 0.550 0.525 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:20, Train, Epoch : 1, Step : 370, Loss : 0.76011 0.86714 0.63788 0.74449 0.76373, Acc : 0.675 0.700 0.600 0.525 0.588, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:24, Train, Epoch : 1, Step : 380, Loss : 0.72063 0.64404 0.55487 0.85670 0.63383, Acc : 0.525 0.625 0.662 0.487 0.713, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:28, Train, Epoch : 1, Step : 390, Loss : 0.71747 0.66579 0.77816 0.76961 0.66151, Acc : 0.562 0.675 0.637 0.613 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:32, Train, Epoch : 1, Step : 400, Loss : 0.92438 0.69094 0.74541 0.91536 0.69917, Acc : 0.562 0.650 0.588 0.537 0.700, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:36, Train, Epoch : 1, Step : 410, Loss : 0.96648 0.99479 0.82874 0.98715 0.52444, Acc : 0.662 0.588 0.662 0.562 0.738, Run Time : 3.95 sec
INFO:root:2020-05-24 03:05:40, Train, Epoch : 1, Step : 420, Loss : 0.68297 0.96490 0.63318 1.01285 0.79880, Acc : 0.662 0.662 0.613 0.463 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 03:05:44, Train, Epoch : 1, Step : 430, Loss : 0.64153 0.87192 0.79714 0.93350 0.63359, Acc : 0.675 0.625 0.562 0.463 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:05:48, Train, Epoch : 1, Step : 440, Loss : 0.74247 0.92279 0.32027 0.95315 0.51154, Acc : 0.675 0.575 0.650 0.525 0.713, Run Time : 3.94 sec
INFO:root:2020-05-24 03:05:52, Train, Epoch : 1, Step : 450, Loss : 0.72718 0.76065 0.87457 0.89042 0.66797, Acc : 0.525 0.600 0.575 0.487 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 03:05:56, Train, Epoch : 1, Step : 460, Loss : 0.85199 0.87408 0.69023 0.77290 0.83497, Acc : 0.600 0.600 0.575 0.575 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:00, Train, Epoch : 1, Step : 470, Loss : 0.91041 0.64797 0.70042 0.85714 0.61075, Acc : 0.600 0.725 0.625 0.600 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:04, Train, Epoch : 1, Step : 480, Loss : 1.13556 0.72888 0.76014 0.96821 0.60799, Acc : 0.588 0.675 0.588 0.550 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:08, Train, Epoch : 1, Step : 490, Loss : 0.82310 0.88330 0.75564 0.98150 0.55060, Acc : 0.588 0.562 0.562 0.512 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:12, Train, Epoch : 1, Step : 500, Loss : 0.77665 0.76611 0.59469 0.91241 0.30381, Acc : 0.637 0.675 0.600 0.625 0.725, Run Time : 3.93 sec
INFO:root:2020-05-24 03:06:16, Train, Epoch : 1, Step : 510, Loss : 0.85896 0.83667 1.02805 0.79698 0.61213, Acc : 0.613 0.662 0.575 0.650 0.762, Run Time : 3.95 sec
INFO:root:2020-05-24 03:06:20, Train, Epoch : 1, Step : 520, Loss : 0.80033 0.61141 0.63579 0.97283 0.64589, Acc : 0.588 0.700 0.562 0.463 0.762, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:23, Train, Epoch : 1, Step : 530, Loss : 0.72791 0.85997 0.70415 0.76354 0.88210, Acc : 0.537 0.600 0.575 0.625 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:27, Train, Epoch : 1, Step : 540, Loss : 1.17513 0.73135 0.63185 0.78310 0.84714, Acc : 0.575 0.700 0.550 0.525 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 03:06:31, Train, Epoch : 1, Step : 550, Loss : 0.85534 0.68636 0.81252 0.72359 0.57911, Acc : 0.562 0.688 0.562 0.525 0.662, Run Time : 3.94 sec
