INFO:root:2020-05-24 03:47:10, Train, Epoch : 1, Step : 10, Loss : 0.77570 0.69132 0.70015 0.87515 0.87712, Acc : 0.500 0.637 0.487 0.537 0.475, Run Time : 4.18 sec
INFO:root:2020-05-24 03:47:14, Train, Epoch : 1, Step : 20, Loss : 0.96472 0.99589 0.80353 1.00648 0.88030, Acc : 0.487 0.550 0.487 0.588 0.512, Run Time : 3.95 sec
INFO:root:2020-05-24 03:47:18, Train, Epoch : 1, Step : 30, Loss : 1.03930 0.88939 0.37334 0.88955 0.74411, Acc : 0.487 0.525 0.512 0.550 0.562, Run Time : 3.95 sec
INFO:root:2020-05-24 03:47:22, Train, Epoch : 1, Step : 40, Loss : 0.86095 0.74676 0.47089 0.70878 0.83201, Acc : 0.463 0.588 0.487 0.650 0.575, Run Time : 3.95 sec
INFO:root:2020-05-24 03:47:26, Train, Epoch : 1, Step : 50, Loss : 0.95021 0.83566 0.67102 0.69925 0.79775, Acc : 0.537 0.637 0.450 0.487 0.625, Run Time : 3.96 sec
INFO:root:2020-05-24 03:47:30, Train, Epoch : 1, Step : 60, Loss : 0.76887 0.81705 0.74398 0.82653 0.80293, Acc : 0.512 0.550 0.500 0.562 0.738, Run Time : 3.96 sec
INFO:root:2020-05-24 03:47:34, Train, Epoch : 1, Step : 70, Loss : 0.73794 0.65848 0.61545 0.93087 0.84851, Acc : 0.600 0.675 0.562 0.613 0.575, Run Time : 3.95 sec
INFO:root:2020-05-24 03:47:38, Train, Epoch : 1, Step : 80, Loss : 0.76029 0.79962 0.61514 0.73359 0.77127, Acc : 0.562 0.562 0.550 0.550 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 03:47:42, Train, Epoch : 1, Step : 90, Loss : 1.12154 0.75031 0.84582 0.87251 0.81691, Acc : 0.550 0.625 0.512 0.537 0.613, Run Time : 3.96 sec
INFO:root:2020-05-24 03:47:46, Train, Epoch : 1, Step : 100, Loss : 0.95220 0.68177 0.61641 1.00507 0.96992, Acc : 0.512 0.700 0.400 0.537 0.662, Run Time : 3.96 sec
INFO:root:2020-05-24 03:47:50, Train, Epoch : 1, Step : 110, Loss : 0.78797 0.73772 0.71848 0.93540 0.80869, Acc : 0.613 0.637 0.537 0.575 0.575, Run Time : 3.96 sec
INFO:root:2020-05-24 03:47:54, Train, Epoch : 1, Step : 120, Loss : 0.79473 0.73744 0.61131 0.95429 0.85638, Acc : 0.550 0.700 0.562 0.500 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 03:47:58, Train, Epoch : 1, Step : 130, Loss : 0.75064 0.85807 0.67735 0.72010 0.79389, Acc : 0.600 0.662 0.450 0.512 0.537, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:02, Train, Epoch : 1, Step : 140, Loss : 0.78673 0.60609 0.55511 0.78640 0.73790, Acc : 0.537 0.725 0.537 0.562 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:06, Train, Epoch : 1, Step : 150, Loss : 0.86759 0.67698 0.84404 0.79672 0.59350, Acc : 0.562 0.713 0.588 0.438 0.762, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:10, Train, Epoch : 1, Step : 160, Loss : 0.67367 0.87056 0.90550 1.00391 0.63973, Acc : 0.463 0.637 0.500 0.438 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:14, Train, Epoch : 1, Step : 170, Loss : 0.90068 0.78464 0.45108 0.95601 0.69564, Acc : 0.637 0.637 0.613 0.550 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:17, Train, Epoch : 1, Step : 180, Loss : 1.10138 0.78863 0.93269 0.91920 0.76025, Acc : 0.537 0.700 0.463 0.550 0.662, Run Time : 3.96 sec
INFO:root:2020-05-24 03:48:21, Train, Epoch : 1, Step : 190, Loss : 0.78221 0.76826 0.56004 0.72015 0.72501, Acc : 0.637 0.588 0.512 0.625 0.700, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:25, Train, Epoch : 1, Step : 200, Loss : 0.91596 0.54292 0.50541 1.08172 0.93469, Acc : 0.588 0.775 0.537 0.487 0.588, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:29, Train, Epoch : 1, Step : 210, Loss : 0.75556 0.79503 0.56122 0.81168 0.67177, Acc : 0.675 0.650 0.487 0.525 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 03:48:33, Train, Epoch : 1, Step : 220, Loss : 0.46860 0.68673 0.63813 1.08491 0.77854, Acc : 0.575 0.600 0.475 0.500 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:37, Train, Epoch : 1, Step : 230, Loss : 0.95347 0.73517 1.01960 0.73309 0.75139, Acc : 0.575 0.688 0.487 0.662 0.713, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:41, Train, Epoch : 1, Step : 240, Loss : 0.71029 0.65610 0.84443 0.80309 0.65563, Acc : 0.562 0.688 0.625 0.525 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:45, Train, Epoch : 1, Step : 250, Loss : 0.89587 1.05615 0.76607 0.89722 0.72123, Acc : 0.625 0.613 0.550 0.537 0.675, Run Time : 3.96 sec
INFO:root:2020-05-24 03:48:49, Train, Epoch : 1, Step : 260, Loss : 0.64298 0.79002 0.71740 1.05944 0.77088, Acc : 0.675 0.575 0.537 0.487 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 03:48:53, Train, Epoch : 1, Step : 270, Loss : 0.88425 0.81878 0.59598 0.78233 0.47489, Acc : 0.588 0.637 0.438 0.500 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:48:57, Train, Epoch : 1, Step : 280, Loss : 0.71219 0.71072 0.80358 0.95423 0.56997, Acc : 0.575 0.713 0.463 0.575 0.738, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:01, Train, Epoch : 1, Step : 290, Loss : 0.92524 0.65973 0.67837 0.91546 0.63690, Acc : 0.588 0.713 0.512 0.575 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:05, Train, Epoch : 1, Step : 300, Loss : 0.85337 0.62074 0.21090 0.99501 0.79324, Acc : 0.650 0.738 0.537 0.562 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:09, Train, Epoch : 1, Step : 310, Loss : 0.98843 0.75172 0.48696 1.02835 0.55009, Acc : 0.537 0.688 0.475 0.537 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:13, Train, Epoch : 1, Step : 320, Loss : 1.04682 0.73819 0.72975 0.95191 0.58248, Acc : 0.588 0.675 0.512 0.525 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:17, Train, Epoch : 1, Step : 330, Loss : 0.70832 0.63416 0.71203 0.68798 0.76929, Acc : 0.700 0.688 0.500 0.562 0.675, Run Time : 3.96 sec
INFO:root:2020-05-24 03:49:21, Train, Epoch : 1, Step : 340, Loss : 0.66389 0.82668 0.49023 0.93594 0.65238, Acc : 0.550 0.675 0.575 0.550 0.625, Run Time : 3.96 sec
INFO:root:2020-05-24 03:49:25, Train, Epoch : 1, Step : 350, Loss : 0.73536 0.51255 0.26878 0.96127 0.72302, Acc : 0.550 0.675 0.525 0.512 0.588, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:29, Train, Epoch : 1, Step : 360, Loss : 0.68856 0.74241 0.54789 0.94899 0.71956, Acc : 0.562 0.700 0.550 0.625 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 03:49:33, Train, Epoch : 1, Step : 370, Loss : 0.60831 0.71206 0.33803 0.79344 0.60206, Acc : 0.613 0.713 0.512 0.550 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 03:49:37, Train, Epoch : 1, Step : 380, Loss : 0.98451 0.78933 0.57987 0.91916 0.74030, Acc : 0.562 0.688 0.575 0.600 0.625, Run Time : 3.96 sec
INFO:root:2020-05-24 03:49:40, Train, Epoch : 1, Step : 390, Loss : 0.89172 0.65299 0.51723 0.82762 0.61467, Acc : 0.550 0.725 0.537 0.550 0.688, Run Time : 3.95 sec
