INFO:root:2020-05-24 04:29:27, Train, Epoch : 1, Step : 10, Loss : 1.07058 0.74838 0.25577 0.85635 0.78296, Acc : 0.475 0.625 0.525 0.425 0.475, Run Time : 4.11 sec
INFO:root:2020-05-24 04:29:31, Train, Epoch : 1, Step : 20, Loss : 0.77953 0.69137 0.36534 0.88812 0.91899, Acc : 0.600 0.613 0.537 0.512 0.537, Run Time : 3.95 sec
INFO:root:2020-05-24 04:29:35, Train, Epoch : 1, Step : 30, Loss : 0.85681 0.72769 0.58302 1.03072 0.73546, Acc : 0.512 0.588 0.500 0.500 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 04:29:39, Train, Epoch : 1, Step : 40, Loss : 0.90246 0.80029 0.42631 0.95326 0.96449, Acc : 0.525 0.575 0.525 0.487 0.500, Run Time : 3.95 sec
INFO:root:2020-05-24 04:29:43, Train, Epoch : 1, Step : 50, Loss : 0.76349 0.77939 0.65335 1.01936 0.67400, Acc : 0.537 0.562 0.575 0.500 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 04:29:47, Train, Epoch : 1, Step : 60, Loss : 0.91880 0.68681 0.62454 0.98174 0.81272, Acc : 0.512 0.588 0.575 0.512 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 04:29:51, Train, Epoch : 1, Step : 70, Loss : 0.87042 0.65170 0.42671 0.88777 0.94208, Acc : 0.613 0.662 0.500 0.512 0.588, Run Time : 3.95 sec
INFO:root:2020-05-24 04:29:55, Train, Epoch : 1, Step : 80, Loss : 0.79535 0.62657 0.70655 0.87651 0.97623, Acc : 0.613 0.675 0.487 0.637 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 04:29:59, Train, Epoch : 1, Step : 90, Loss : 0.83723 0.56208 0.27788 1.00310 0.80479, Acc : 0.575 0.725 0.450 0.500 0.487, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:03, Train, Epoch : 1, Step : 100, Loss : 1.04010 0.53818 0.39722 0.97522 0.77156, Acc : 0.600 0.650 0.512 0.500 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 04:30:07, Train, Epoch : 1, Step : 110, Loss : 0.80371 0.47982 0.32175 0.94710 0.81755, Acc : 0.650 0.713 0.550 0.562 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:11, Train, Epoch : 1, Step : 120, Loss : 0.95605 0.58114 0.54350 0.87708 0.81763, Acc : 0.475 0.637 0.512 0.388 0.575, Run Time : 3.95 sec
INFO:root:2020-05-24 04:30:15, Train, Epoch : 1, Step : 130, Loss : 0.79786 0.66464 0.56974 0.83366 0.95210, Acc : 0.562 0.738 0.487 0.500 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 04:30:18, Train, Epoch : 1, Step : 140, Loss : 0.81789 0.70663 0.12568 0.77528 0.86786, Acc : 0.575 0.613 0.487 0.512 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:22, Train, Epoch : 1, Step : 150, Loss : 0.83790 0.61488 0.88652 0.98562 0.98654, Acc : 0.525 0.625 0.575 0.537 0.588, Run Time : 3.95 sec
INFO:root:2020-05-24 04:30:26, Train, Epoch : 1, Step : 160, Loss : 0.87302 0.66891 0.31181 0.90788 0.80183, Acc : 0.550 0.700 0.562 0.613 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:30, Train, Epoch : 1, Step : 170, Loss : 0.92031 0.67310 0.86722 0.94724 0.80891, Acc : 0.613 0.613 0.537 0.525 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:34, Train, Epoch : 1, Step : 180, Loss : 0.78016 0.50383 0.34002 1.01616 0.58378, Acc : 0.625 0.688 0.575 0.425 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:38, Train, Epoch : 1, Step : 190, Loss : 0.91511 0.71707 0.38259 0.87884 0.74639, Acc : 0.613 0.688 0.487 0.450 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 04:30:42, Train, Epoch : 1, Step : 200, Loss : 0.83022 0.64109 0.51344 0.86159 0.86563, Acc : 0.550 0.688 0.613 0.613 0.713, Run Time : 3.95 sec
INFO:root:2020-05-24 04:30:46, Train, Epoch : 1, Step : 210, Loss : 0.99687 0.59684 0.48218 0.94841 0.70932, Acc : 0.613 0.637 0.562 0.512 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:50, Train, Epoch : 1, Step : 220, Loss : 0.84126 0.64415 0.62065 0.78771 0.84395, Acc : 0.625 0.650 0.512 0.575 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:54, Train, Epoch : 1, Step : 230, Loss : 0.77983 0.59696 0.24528 0.81953 0.57421, Acc : 0.637 0.688 0.500 0.588 0.713, Run Time : 3.94 sec
INFO:root:2020-05-24 04:30:58, Train, Epoch : 1, Step : 240, Loss : 0.72704 0.59763 0.43453 1.01595 0.74691, Acc : 0.613 0.713 0.450 0.463 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 04:31:02, Train, Epoch : 1, Step : 250, Loss : 0.83601 0.64578 0.77602 0.95075 0.87611, Acc : 0.588 0.650 0.525 0.463 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 04:31:06, Train, Epoch : 1, Step : 260, Loss : 0.80316 0.63608 0.30373 1.05120 0.80440, Acc : 0.637 0.713 0.525 0.575 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 04:31:10, Train, Epoch : 1, Step : 270, Loss : 0.73891 0.63162 0.23200 0.92333 0.68231, Acc : 0.650 0.725 0.475 0.600 0.713, Run Time : 3.94 sec
INFO:root:2020-05-24 04:31:14, Train, Epoch : 1, Step : 280, Loss : 1.02106 0.55785 0.45766 0.83210 0.77532, Acc : 0.487 0.750 0.588 0.613 0.613, Run Time : 3.94 sec
INFO:root:2020-05-24 04:31:18, Train, Epoch : 1, Step : 290, Loss : 0.87263 0.71759 0.89208 1.00985 0.66574, Acc : 0.588 0.575 0.600 0.537 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 04:31:22, Train, Epoch : 1, Step : 300, Loss : 0.81695 0.54794 0.19043 0.80282 1.02155, Acc : 0.525 0.738 0.512 0.575 0.588, Run Time : 3.94 sec
