INFO:root:2020-05-14 13:53:27, Train, Epoch : 1, Step : 10, Loss : 1.10573 0.82376 0.69671 1.03399 0.75204, Acc : 0.463 0.575 0.500 0.450 0.425, Run Time : 5.41 sec
INFO:root:2020-05-14 13:53:30, Train, Epoch : 1, Step : 20, Loss : 0.70055 0.87228 0.71385 0.99820 0.80948, Acc : 0.575 0.613 0.512 0.425 0.688, Run Time : 3.19 sec
INFO:root:2020-05-14 13:53:33, Train, Epoch : 1, Step : 30, Loss : 0.79294 0.67818 0.61410 0.81752 0.81404, Acc : 0.500 0.575 0.438 0.562 0.575, Run Time : 3.09 sec
INFO:root:2020-05-14 13:53:36, Train, Epoch : 1, Step : 40, Loss : 0.92515 0.83685 0.94315 0.86219 0.86447, Acc : 0.500 0.662 0.500 0.500 0.562, Run Time : 3.05 sec
INFO:root:2020-05-14 13:53:40, Train, Epoch : 1, Step : 50, Loss : 0.69857 0.81469 0.66508 0.85293 1.01230, Acc : 0.525 0.588 0.537 0.512 0.463, Run Time : 3.14 sec
INFO:root:2020-05-14 13:53:43, Train, Epoch : 1, Step : 60, Loss : 0.89567 0.80667 0.74112 0.88575 0.86526, Acc : 0.525 0.700 0.463 0.500 0.562, Run Time : 3.06 sec
INFO:root:2020-05-14 13:53:46, Train, Epoch : 1, Step : 70, Loss : 0.65387 0.94374 0.62993 0.95554 0.79420, Acc : 0.487 0.525 0.500 0.512 0.613, Run Time : 3.08 sec
INFO:root:2020-05-14 13:53:49, Train, Epoch : 1, Step : 80, Loss : 0.78739 0.78329 0.80234 0.88851 0.72396, Acc : 0.537 0.525 0.450 0.588 0.650, Run Time : 3.04 sec
INFO:root:2020-05-14 13:53:52, Train, Epoch : 1, Step : 90, Loss : 0.77919 0.65873 0.86976 0.92661 0.84468, Acc : 0.613 0.725 0.438 0.637 0.600, Run Time : 3.08 sec
INFO:root:2020-05-14 13:53:55, Train, Epoch : 1, Step : 100, Loss : 0.71146 0.68139 0.89345 1.03579 0.75595, Acc : 0.588 0.637 0.512 0.550 0.600, Run Time : 3.05 sec
INFO:root:2020-05-14 13:53:58, Train, Epoch : 1, Step : 110, Loss : 0.84308 0.78822 0.45134 1.03176 0.86789, Acc : 0.525 0.713 0.487 0.500 0.575, Run Time : 3.08 sec
INFO:root:2020-05-14 13:54:01, Train, Epoch : 1, Step : 120, Loss : 1.17051 0.57375 0.54080 0.90896 0.79537, Acc : 0.525 0.475 0.537 0.537 0.637, Run Time : 3.03 sec
INFO:root:2020-05-14 13:54:04, Train, Epoch : 1, Step : 130, Loss : 0.77967 0.63945 0.64569 0.88782 0.71248, Acc : 0.500 0.575 0.475 0.512 0.637, Run Time : 3.00 sec
INFO:root:2020-05-14 13:54:07, Train, Epoch : 1, Step : 140, Loss : 0.87746 0.74478 0.70238 0.96629 0.71037, Acc : 0.550 0.725 0.500 0.537 0.662, Run Time : 2.98 sec
INFO:root:2020-05-14 13:54:10, Train, Epoch : 1, Step : 150, Loss : 0.81788 0.68509 0.65521 1.02950 0.57029, Acc : 0.575 0.625 0.550 0.562 0.812, Run Time : 3.03 sec
INFO:root:2020-05-14 13:54:13, Train, Epoch : 1, Step : 160, Loss : 0.68048 0.88499 0.77659 0.78002 0.95785, Acc : 0.525 0.575 0.575 0.562 0.512, Run Time : 3.00 sec
INFO:root:2020-05-14 13:54:16, Train, Epoch : 1, Step : 170, Loss : 0.69191 0.67548 0.60171 1.02223 1.14174, Acc : 0.550 0.800 0.525 0.562 0.500, Run Time : 3.01 sec
INFO:root:2020-05-14 13:54:19, Train, Epoch : 1, Step : 180, Loss : 1.09677 0.67051 0.81866 1.01258 0.52524, Acc : 0.550 0.625 0.600 0.475 0.688, Run Time : 3.02 sec
INFO:root:2020-05-14 13:54:22, Train, Epoch : 1, Step : 190, Loss : 1.13454 0.58063 0.76264 0.95717 0.84228, Acc : 0.562 0.700 0.500 0.525 0.525, Run Time : 3.02 sec
INFO:root:2020-05-14 13:54:25, Train, Epoch : 1, Step : 200, Loss : 0.68001 0.82310 0.95562 0.88245 0.74078, Acc : 0.613 0.700 0.438 0.550 0.600, Run Time : 3.05 sec
INFO:root:2020-05-14 13:54:28, Train, Epoch : 1, Step : 210, Loss : 0.67570 0.78341 0.76909 1.06246 0.81721, Acc : 0.537 0.675 0.600 0.537 0.550, Run Time : 3.05 sec
INFO:root:2020-05-14 13:54:31, Train, Epoch : 1, Step : 220, Loss : 0.85662 0.88493 0.76189 0.88237 0.79966, Acc : 0.662 0.675 0.487 0.562 0.600, Run Time : 3.00 sec
INFO:root:2020-05-14 13:54:34, Train, Epoch : 1, Step : 230, Loss : 0.65126 0.72220 0.45983 0.86698 0.73452, Acc : 0.537 0.662 0.487 0.412 0.588, Run Time : 3.03 sec
INFO:root:2020-05-14 13:54:37, Train, Epoch : 1, Step : 240, Loss : 0.84569 0.59807 0.64881 0.80237 0.67037, Acc : 0.613 0.738 0.600 0.588 0.625, Run Time : 3.08 sec
INFO:root:2020-05-14 13:54:40, Train, Epoch : 1, Step : 250, Loss : 0.83523 0.63586 0.63107 0.64207 0.72833, Acc : 0.625 0.600 0.550 0.475 0.700, Run Time : 3.07 sec
INFO:root:2020-05-14 13:54:43, Train, Epoch : 1, Step : 260, Loss : 0.69712 0.70783 0.65556 0.96212 0.88682, Acc : 0.562 0.700 0.475 0.525 0.562, Run Time : 2.99 sec
