INFO:root:2020-05-11 02:22:18, Train, Epoch : 1, Step : 10, Loss : 0.92203 0.94916 0.77273 1.07882 0.80852, Acc : 0.512 0.487 0.463 0.425 0.475, Run Time : 5.28 sec
INFO:root:2020-05-11 02:22:23, Train, Epoch : 1, Step : 20, Loss : 0.90264 0.95432 0.51036 1.03540 0.62577, Acc : 0.487 0.562 0.525 0.537 0.487, Run Time : 4.47 sec
INFO:root:2020-05-11 02:22:27, Train, Epoch : 1, Step : 30, Loss : 0.94142 0.67524 0.69636 0.87356 0.75088, Acc : 0.475 0.588 0.600 0.512 0.562, Run Time : 4.49 sec
INFO:root:2020-05-11 02:22:32, Train, Epoch : 1, Step : 40, Loss : 0.95411 0.73224 0.74050 0.99883 0.79795, Acc : 0.512 0.675 0.512 0.525 0.588, Run Time : 4.52 sec
INFO:root:2020-05-11 02:22:36, Train, Epoch : 1, Step : 50, Loss : 1.04421 0.82322 0.86357 1.11056 0.90820, Acc : 0.500 0.637 0.500 0.450 0.562, Run Time : 4.53 sec
INFO:root:2020-05-11 02:22:41, Train, Epoch : 1, Step : 60, Loss : 0.89227 0.68178 0.69088 0.96088 0.78117, Acc : 0.550 0.613 0.537 0.450 0.588, Run Time : 4.59 sec
INFO:root:2020-05-11 02:22:45, Train, Epoch : 1, Step : 70, Loss : 0.72487 0.91655 0.90676 1.01846 0.65770, Acc : 0.512 0.625 0.500 0.463 0.550, Run Time : 4.52 sec
INFO:root:2020-05-11 02:22:50, Train, Epoch : 1, Step : 80, Loss : 0.83968 0.78959 0.62471 0.91722 0.75898, Acc : 0.525 0.637 0.487 0.550 0.562, Run Time : 4.55 sec
INFO:root:2020-05-11 02:22:55, Train, Epoch : 1, Step : 90, Loss : 0.85289 0.78742 0.60548 0.69392 0.70208, Acc : 0.550 0.662 0.475 0.463 0.525, Run Time : 4.54 sec
INFO:root:2020-05-11 02:22:59, Train, Epoch : 1, Step : 100, Loss : 0.98862 0.90340 0.94101 0.81587 0.60017, Acc : 0.500 0.600 0.588 0.588 0.675, Run Time : 4.61 sec
INFO:root:2020-05-11 02:23:04, Train, Epoch : 1, Step : 110, Loss : 0.66574 0.65986 0.65147 0.79968 0.63556, Acc : 0.562 0.588 0.537 0.625 0.600, Run Time : 4.57 sec
INFO:root:2020-05-11 02:23:08, Train, Epoch : 1, Step : 120, Loss : 0.57109 0.72820 0.89859 0.83751 0.71842, Acc : 0.525 0.700 0.512 0.613 0.588, Run Time : 4.55 sec
INFO:root:2020-05-11 02:23:13, Train, Epoch : 1, Step : 130, Loss : 0.81038 0.80651 0.73679 0.90939 0.76338, Acc : 0.562 0.662 0.537 0.562 0.725, Run Time : 4.55 sec
INFO:root:2020-05-11 02:23:17, Train, Epoch : 1, Step : 140, Loss : 0.88888 1.01392 0.88266 0.57100 0.71566, Acc : 0.537 0.575 0.438 0.500 0.650, Run Time : 4.57 sec
INFO:root:2020-05-11 02:23:22, Train, Epoch : 1, Step : 150, Loss : 0.81306 1.02824 0.48995 1.02153 0.69014, Acc : 0.525 0.662 0.550 0.450 0.588, Run Time : 4.57 sec
INFO:root:2020-05-11 02:23:27, Train, Epoch : 1, Step : 160, Loss : 0.83951 0.87493 0.72861 0.93540 0.69120, Acc : 0.537 0.688 0.500 0.512 0.637, Run Time : 4.58 sec
INFO:root:2020-05-11 02:23:31, Train, Epoch : 1, Step : 170, Loss : 0.66881 0.55839 0.82764 0.97887 0.71345, Acc : 0.500 0.625 0.512 0.487 0.637, Run Time : 4.56 sec
INFO:root:2020-05-11 02:23:36, Train, Epoch : 1, Step : 180, Loss : 1.07046 0.70469 0.45990 0.92140 0.80422, Acc : 0.600 0.662 0.537 0.537 0.700, Run Time : 4.57 sec
INFO:root:2020-05-11 02:23:40, Train, Epoch : 1, Step : 190, Loss : 0.82556 0.71346 1.11953 0.99059 0.72149, Acc : 0.625 0.650 0.463 0.613 0.662, Run Time : 4.61 sec
INFO:root:2020-05-11 02:23:45, Train, Epoch : 1, Step : 200, Loss : 0.67250 0.75306 0.89737 0.94054 0.71585, Acc : 0.575 0.688 0.588 0.500 0.562, Run Time : 4.60 sec
INFO:root:2020-05-11 02:23:50, Train, Epoch : 1, Step : 210, Loss : 0.62544 0.57117 0.72299 0.74757 0.70672, Acc : 0.588 0.625 0.575 0.713 0.613, Run Time : 4.82 sec
INFO:root:2020-05-11 02:23:54, Train, Epoch : 1, Step : 220, Loss : 1.04436 0.70526 0.88361 0.81576 0.65941, Acc : 0.512 0.725 0.487 0.550 0.675, Run Time : 4.63 sec
INFO:root:2020-05-11 02:23:59, Train, Epoch : 1, Step : 230, Loss : 0.80827 0.75181 0.52736 0.92186 0.66417, Acc : 0.550 0.562 0.537 0.525 0.688, Run Time : 4.60 sec
INFO:root:2020-05-11 02:24:04, Train, Epoch : 1, Step : 240, Loss : 0.74657 1.01807 0.75312 0.89546 0.73344, Acc : 0.575 0.625 0.487 0.675 0.575, Run Time : 4.61 sec
INFO:root:2020-05-11 02:24:08, Train, Epoch : 1, Step : 250, Loss : 0.74323 0.74876 0.17709 1.00606 0.76059, Acc : 0.550 0.675 0.600 0.500 0.600, Run Time : 4.62 sec
INFO:root:2020-05-11 02:24:13, Train, Epoch : 1, Step : 260, Loss : 0.66146 0.91867 0.78577 0.85471 0.82982, Acc : 0.550 0.675 0.537 0.525 0.613, Run Time : 4.64 sec
INFO:root:2020-05-11 02:24:17, Train, Epoch : 1, Step : 270, Loss : 0.86456 0.66866 0.86600 0.93060 0.76112, Acc : 0.550 0.688 0.588 0.525 0.637, Run Time : 4.69 sec
INFO:root:2020-05-11 02:24:22, Train, Epoch : 1, Step : 280, Loss : 0.93943 0.81280 0.78595 0.91209 0.62077, Acc : 0.575 0.625 0.650 0.537 0.625, Run Time : 4.65 sec
INFO:root:2020-05-11 02:24:27, Train, Epoch : 1, Step : 290, Loss : 0.94189 0.70896 0.80795 0.91637 0.69611, Acc : 0.525 0.650 0.537 0.487 0.637, Run Time : 4.61 sec
INFO:root:2020-05-11 02:24:31, Train, Epoch : 1, Step : 300, Loss : 0.74883 0.87846 0.67636 0.72211 0.64054, Acc : 0.575 0.650 0.575 0.588 0.662, Run Time : 4.59 sec
INFO:root:2020-05-11 02:24:36, Train, Epoch : 1, Step : 310, Loss : 0.79323 0.78439 0.58061 0.77894 0.88450, Acc : 0.537 0.625 0.575 0.562 0.575, Run Time : 4.58 sec
INFO:root:2020-05-11 02:24:41, Train, Epoch : 1, Step : 320, Loss : 1.02116 0.76299 0.53700 0.78695 0.77839, Acc : 0.512 0.500 0.575 0.512 0.637, Run Time : 4.62 sec
INFO:root:2020-05-11 02:24:45, Train, Epoch : 1, Step : 330, Loss : 0.71085 0.63515 0.25987 0.78145 0.82305, Acc : 0.650 0.625 0.487 0.562 0.575, Run Time : 4.64 sec
INFO:root:2020-05-11 02:24:50, Train, Epoch : 1, Step : 340, Loss : 1.07366 0.95341 0.72943 0.57218 0.68828, Acc : 0.550 0.650 0.537 0.637 0.588, Run Time : 4.60 sec
INFO:root:2020-05-11 02:24:54, Train, Epoch : 1, Step : 350, Loss : 0.95027 0.67972 0.77156 0.98472 0.72365, Acc : 0.625 0.637 0.525 0.537 0.512, Run Time : 4.59 sec
INFO:root:2020-05-11 02:24:59, Train, Epoch : 1, Step : 360, Loss : 0.90883 0.84841 0.58292 0.75134 0.79945, Acc : 0.600 0.588 0.550 0.588 0.650, Run Time : 4.59 sec
INFO:root:2020-05-11 02:25:04, Train, Epoch : 1, Step : 370, Loss : 0.96038 0.64298 0.74016 0.83933 0.59736, Acc : 0.562 0.688 0.525 0.550 0.675, Run Time : 4.60 sec
INFO:root:2020-05-11 02:25:08, Train, Epoch : 1, Step : 380, Loss : 0.64615 0.78203 0.95219 0.97312 0.88595, Acc : 0.713 0.613 0.525 0.525 0.575, Run Time : 4.60 sec
INFO:root:2020-05-11 02:25:13, Train, Epoch : 1, Step : 390, Loss : 0.79851 0.78376 0.80580 0.87854 0.50278, Acc : 0.575 0.675 0.562 0.463 0.750, Run Time : 4.61 sec
INFO:root:2020-05-11 02:25:17, Train, Epoch : 1, Step : 400, Loss : 0.70227 0.75812 1.01550 0.91801 0.78472, Acc : 0.613 0.650 0.562 0.500 0.625, Run Time : 4.61 sec
INFO:root:2020-05-11 02:25:22, Train, Epoch : 1, Step : 410, Loss : 0.59381 0.83721 0.93111 0.90254 0.54390, Acc : 0.588 0.588 0.512 0.650 0.725, Run Time : 4.60 sec
INFO:root:2020-05-11 02:25:27, Train, Epoch : 1, Step : 420, Loss : 0.59908 0.75818 0.50763 0.86740 0.61601, Acc : 0.575 0.662 0.588 0.650 0.675, Run Time : 4.60 sec
INFO:root:2020-05-11 02:25:31, Train, Epoch : 1, Step : 430, Loss : 1.38388 0.88065 0.68520 1.02092 0.51562, Acc : 0.562 0.650 0.562 0.613 0.588, Run Time : 4.59 sec
INFO:root:2020-05-11 02:25:36, Train, Epoch : 1, Step : 440, Loss : 1.07321 0.64959 0.72982 0.94767 0.67010, Acc : 0.537 0.688 0.637 0.525 0.700, Run Time : 4.60 sec
INFO:root:2020-05-11 02:25:40, Train, Epoch : 1, Step : 450, Loss : 0.90379 0.88755 0.60516 0.96517 0.78790, Acc : 0.562 0.562 0.550 0.588 0.650, Run Time : 4.65 sec
INFO:root:2020-05-11 02:25:45, Train, Epoch : 1, Step : 460, Loss : 1.04138 0.61739 0.94090 0.72365 0.56156, Acc : 0.613 0.575 0.575 0.550 0.775, Run Time : 4.60 sec
INFO:root:2020-05-11 02:25:50, Train, Epoch : 1, Step : 470, Loss : 1.05709 0.92047 0.61403 0.86227 0.80533, Acc : 0.550 0.613 0.500 0.525 0.662, Run Time : 4.61 sec
INFO:root:2020-05-11 02:25:54, Train, Epoch : 1, Step : 480, Loss : 0.78336 0.55146 0.89050 0.91295 0.60728, Acc : 0.637 0.713 0.625 0.500 0.725, Run Time : 4.64 sec
INFO:root:2020-05-11 02:25:59, Train, Epoch : 1, Step : 490, Loss : 0.80038 0.76131 0.93074 0.68637 0.53678, Acc : 0.562 0.588 0.512 0.588 0.713, Run Time : 4.64 sec
INFO:root:2020-05-11 02:26:03, Train, Epoch : 1, Step : 500, Loss : 0.82591 0.77244 0.56398 0.96381 0.70720, Acc : 0.588 0.650 0.600 0.575 0.625, Run Time : 4.59 sec
INFO:root:2020-05-11 02:26:08, Train, Epoch : 1, Step : 510, Loss : 0.70360 0.70043 0.86973 0.77605 0.77929, Acc : 0.688 0.650 0.600 0.500 0.675, Run Time : 4.62 sec
INFO:root:2020-05-11 02:26:13, Train, Epoch : 1, Step : 520, Loss : 0.77727 0.72575 0.99645 0.90791 0.66074, Acc : 0.637 0.588 0.588 0.550 0.675, Run Time : 4.61 sec
INFO:root:2020-05-11 02:26:17, Train, Epoch : 1, Step : 530, Loss : 0.94669 0.80896 1.04155 0.91004 0.60533, Acc : 0.613 0.650 0.525 0.588 0.688, Run Time : 4.60 sec
INFO:root:2020-05-11 02:26:22, Train, Epoch : 1, Step : 540, Loss : 0.62362 0.74800 0.79849 0.71911 0.66589, Acc : 0.675 0.637 0.537 0.562 0.700, Run Time : 4.76 sec
INFO:root:2020-05-11 02:26:27, Train, Epoch : 1, Step : 550, Loss : 0.88310 0.68211 0.50976 0.77632 0.80031, Acc : 0.562 0.675 0.537 0.575 0.575, Run Time : 4.66 sec
INFO:root:2020-05-11 02:26:31, Train, Epoch : 1, Step : 560, Loss : 0.78671 0.64082 0.82271 0.96245 0.64422, Acc : 0.675 0.688 0.562 0.500 0.625, Run Time : 4.63 sec
INFO:root:2020-05-11 02:26:36, Train, Epoch : 1, Step : 570, Loss : 0.81981 0.73541 0.53418 0.71161 0.86743, Acc : 0.650 0.725 0.613 0.537 0.650, Run Time : 4.62 sec
INFO:root:2020-05-11 02:26:41, Train, Epoch : 1, Step : 580, Loss : 0.93097 0.83338 0.85760 0.81903 0.66312, Acc : 0.537 0.675 0.550 0.562 0.613, Run Time : 4.63 sec
INFO:root:2020-05-11 02:26:45, Train, Epoch : 1, Step : 590, Loss : 0.56049 0.56889 0.54377 0.95879 0.74747, Acc : 0.600 0.725 0.650 0.500 0.650, Run Time : 4.62 sec
INFO:root:2020-05-11 02:26:50, Train, Epoch : 1, Step : 600, Loss : 0.58193 0.72130 1.09984 0.94574 0.73301, Acc : 0.637 0.650 0.512 0.588 0.637, Run Time : 4.60 sec
