INFO:root:2020-05-11 02:22:54, Train, Epoch : 1, Step : 10, Loss : 1.13045 0.88733 0.51720 1.01006 0.87510, Acc : 0.562 0.575 0.487 0.463 0.562, Run Time : 4.77 sec
INFO:root:2020-05-11 02:22:59, Train, Epoch : 1, Step : 20, Loss : 0.97823 0.80542 0.73005 1.04396 0.84337, Acc : 0.525 0.625 0.575 0.512 0.550, Run Time : 4.42 sec
INFO:root:2020-05-11 02:23:03, Train, Epoch : 1, Step : 30, Loss : 0.89348 0.73437 0.49294 0.97508 0.72986, Acc : 0.562 0.600 0.463 0.463 0.600, Run Time : 4.41 sec
INFO:root:2020-05-11 02:23:07, Train, Epoch : 1, Step : 40, Loss : 0.89158 0.81106 0.71430 0.99230 0.74344, Acc : 0.512 0.637 0.388 0.500 0.537, Run Time : 4.45 sec
INFO:root:2020-05-11 02:23:12, Train, Epoch : 1, Step : 50, Loss : 0.87673 0.83085 0.66699 0.96362 0.61282, Acc : 0.550 0.625 0.450 0.450 0.675, Run Time : 4.44 sec
INFO:root:2020-05-11 02:23:16, Train, Epoch : 1, Step : 60, Loss : 0.78625 0.79690 1.13929 0.85558 0.88646, Acc : 0.550 0.650 0.400 0.537 0.500, Run Time : 4.45 sec
INFO:root:2020-05-11 02:23:21, Train, Epoch : 1, Step : 70, Loss : 0.90984 0.88427 0.48909 0.91878 0.73475, Acc : 0.525 0.613 0.450 0.525 0.562, Run Time : 4.50 sec
INFO:root:2020-05-11 02:23:25, Train, Epoch : 1, Step : 80, Loss : 0.73823 0.69134 0.70114 0.86936 0.87431, Acc : 0.575 0.575 0.475 0.487 0.600, Run Time : 4.47 sec
INFO:root:2020-05-11 02:23:30, Train, Epoch : 1, Step : 90, Loss : 0.84999 0.74850 0.59743 0.66480 0.84763, Acc : 0.562 0.613 0.500 0.550 0.637, Run Time : 4.50 sec
INFO:root:2020-05-11 02:23:34, Train, Epoch : 1, Step : 100, Loss : 0.87187 0.85469 0.67389 0.73493 0.80983, Acc : 0.537 0.550 0.588 0.512 0.688, Run Time : 4.53 sec
INFO:root:2020-05-11 02:23:39, Train, Epoch : 1, Step : 110, Loss : 0.93343 0.77937 0.46309 0.96772 0.69614, Acc : 0.475 0.613 0.600 0.525 0.662, Run Time : 4.53 sec
INFO:root:2020-05-11 02:23:43, Train, Epoch : 1, Step : 120, Loss : 0.89414 0.75327 0.57968 0.97464 0.64367, Acc : 0.637 0.600 0.450 0.463 0.700, Run Time : 4.62 sec
INFO:root:2020-05-11 02:23:48, Train, Epoch : 1, Step : 130, Loss : 0.98292 0.77244 0.51122 0.87382 0.82790, Acc : 0.475 0.613 0.438 0.550 0.588, Run Time : 4.54 sec
INFO:root:2020-05-11 02:23:52, Train, Epoch : 1, Step : 140, Loss : 0.77765 0.58263 0.61668 0.71506 0.73952, Acc : 0.537 0.588 0.500 0.512 0.600, Run Time : 4.52 sec
INFO:root:2020-05-11 02:23:57, Train, Epoch : 1, Step : 150, Loss : 0.98057 0.73536 0.64361 0.87993 0.72568, Acc : 0.550 0.600 0.512 0.512 0.662, Run Time : 4.51 sec
INFO:root:2020-05-11 02:24:02, Train, Epoch : 1, Step : 160, Loss : 0.96460 0.81095 0.65942 0.82488 0.68085, Acc : 0.613 0.650 0.500 0.512 0.650, Run Time : 4.58 sec
INFO:root:2020-05-11 02:24:06, Train, Epoch : 1, Step : 170, Loss : 0.77536 0.59963 0.88806 0.79143 0.85292, Acc : 0.637 0.675 0.412 0.512 0.613, Run Time : 4.50 sec
