INFO:root:2020-05-21 00:37:23, Start communication round 1 of FL - FedAvg ...
INFO:root:2020-05-21 00:37:23, Start local training process for client A, communication round: 1 ...
INFO:root:2020-05-21 00:37:28, Train, Epoch : 1, Step : 10, Loss : 0.97365 0.86183 0.62962 0.95911 0.88593, Acc : 0.575 0.500 0.500 0.463 0.487, Run Time : 4.07 sec
INFO:root:2020-05-21 00:37:32, Train, Epoch : 1, Step : 20, Loss : 0.97825 0.90269 0.69298 0.84313 0.74427, Acc : 0.475 0.600 0.500 0.575 0.487, Run Time : 3.91 sec
INFO:root:2020-05-21 00:37:36, Train, Epoch : 1, Step : 30, Loss : 0.72077 0.73717 0.80219 0.95687 0.70032, Acc : 0.500 0.537 0.500 0.525 0.625, Run Time : 3.90 sec
INFO:root:2020-05-21 00:37:40, Train, Epoch : 1, Step : 40, Loss : 0.78750 0.81033 0.93772 0.93963 0.78691, Acc : 0.562 0.588 0.500 0.463 0.588, Run Time : 3.90 sec
INFO:root:2020-05-21 00:37:43, Train, Epoch : 1, Step : 50, Loss : 0.98354 0.83683 0.68958 0.85947 0.91046, Acc : 0.512 0.675 0.575 0.637 0.525, Run Time : 3.90 sec
INFO:root:2020-05-21 00:37:47, Train, Epoch : 1, Step : 60, Loss : 0.87516 0.80773 0.66690 0.94315 0.76592, Acc : 0.525 0.625 0.463 0.613 0.562, Run Time : 3.90 sec
INFO:root:2020-05-21 00:37:51, Train, Epoch : 1, Step : 70, Loss : 0.83451 0.79727 0.77773 1.08875 0.85836, Acc : 0.525 0.650 0.412 0.487 0.525, Run Time : 3.90 sec
INFO:root:2020-05-21 00:37:55, Train, Epoch : 1, Step : 80, Loss : 0.99834 0.62392 0.80538 0.97706 0.90935, Acc : 0.588 0.625 0.463 0.550 0.500, Run Time : 3.90 sec
INFO:root:2020-05-21 00:37:59, Train, Epoch : 1, Step : 90, Loss : 0.96097 0.72570 0.64010 0.96397 0.75348, Acc : 0.487 0.625 0.525 0.537 0.537, Run Time : 3.90 sec
INFO:root:2020-05-21 00:38:03, Train, Epoch : 1, Step : 100, Loss : 0.99432 0.90193 0.76865 1.05017 0.65089, Acc : 0.500 0.637 0.500 0.500 0.588, Run Time : 3.90 sec
INFO:root:2020-05-21 00:38:07, Dev, Step : 100, Loss : 0.96100 0.76337 0.49462 0.87216 0.67495, Acc : 0.662 0.804 0.704 0.512 0.721, Auc : 0.638 0.773 0.791 0.577 0.775,Mean auc: 0.711 Run Time : 3.62 sec
