INFO:root:2020-05-25 14:17:43, Start communication round 1 of FL - FedProx ...
INFO:root:2020-05-25 14:17:43, Start local training process for client A, communication round: 1 ...
INFO:root:2020-05-25 14:17:51, Train, Epoch : 1, Step : 10, Loss : 0.71389 0.81217 0.80371 0.96538 0.83715, Acc : 0.475 0.562 0.575 0.525 0.525, Run Time : 7.52 sec
INFO:root:2020-05-25 14:17:58, Train, Epoch : 1, Step : 20, Loss : 0.77814 0.69301 0.62877 0.94123 0.87811, Acc : 0.500 0.512 0.525 0.550 0.450, Run Time : 7.06 sec
INFO:root:2020-05-25 14:18:05, Train, Epoch : 1, Step : 30, Loss : 1.04016 0.55561 0.82945 0.69041 0.95647, Acc : 0.512 0.713 0.512 0.412 0.575, Run Time : 7.09 sec
INFO:root:2020-05-25 14:18:12, Train, Epoch : 1, Step : 40, Loss : 1.13544 0.99929 0.75655 0.80883 0.86042, Acc : 0.475 0.562 0.537 0.475 0.512, Run Time : 7.07 sec
INFO:root:2020-05-25 14:18:19, Train, Epoch : 1, Step : 50, Loss : 0.72291 0.83629 0.50851 0.83800 0.98174, Acc : 0.525 0.575 0.450 0.537 0.625, Run Time : 7.07 sec
INFO:root:2020-05-25 14:18:26, Train, Epoch : 1, Step : 60, Loss : 1.01375 0.75341 0.68118 0.95902 0.80000, Acc : 0.487 0.688 0.475 0.438 0.625, Run Time : 7.07 sec
INFO:root:2020-05-25 14:18:33, Train, Epoch : 1, Step : 70, Loss : 0.94015 0.61549 0.80360 0.92024 0.83341, Acc : 0.525 0.600 0.525 0.463 0.550, Run Time : 7.07 sec
INFO:root:2020-05-25 14:18:40, Train, Epoch : 1, Step : 80, Loss : 0.87261 0.81829 0.37284 0.61380 0.72454, Acc : 0.588 0.637 0.550 0.575 0.537, Run Time : 7.07 sec
INFO:root:2020-05-25 14:18:47, Train, Epoch : 1, Step : 90, Loss : 1.00459 0.88110 0.55646 0.89988 0.84683, Acc : 0.500 0.562 0.500 0.525 0.637, Run Time : 7.05 sec
INFO:root:2020-05-25 14:18:54, Train, Epoch : 1, Step : 100, Loss : 0.95789 0.80438 0.82725 0.91494 0.81552, Acc : 0.487 0.700 0.487 0.537 0.600, Run Time : 7.05 sec
INFO:root:2020-05-25 14:18:58, Dev, Step : 100, Loss : 0.89714 0.71828 0.51029 0.83453 0.75897, Acc : 0.713 0.542 0.613 0.592 0.717, Auc : 0.692 0.802 0.765 0.668 0.677,Mean auc: 0.721 Run Time : 3.67 sec
INFO:root:2020-05-25 14:19:05, Train, Epoch : 1, Step : 110, Loss : 0.85929 0.64138 0.82886 0.66201 0.65434, Acc : 0.625 0.662 0.550 0.550 0.613, Run Time : 10.75 sec
INFO:root:2020-05-25 14:19:12, Train, Epoch : 1, Step : 120, Loss : 0.96386 0.78154 0.64419 1.11690 0.70055, Acc : 0.613 0.688 0.500 0.425 0.650, Run Time : 7.08 sec
INFO:root:2020-05-25 14:19:19, Train, Epoch : 1, Step : 130, Loss : 0.96938 0.84505 0.82411 0.98295 0.75242, Acc : 0.562 0.637 0.575 0.562 0.625, Run Time : 7.10 sec
INFO:root:2020-05-25 14:19:26, Train, Epoch : 1, Step : 140, Loss : 0.89664 0.81785 0.78077 1.13510 0.60187, Acc : 0.500 0.650 0.600 0.525 0.613, Run Time : 7.07 sec
INFO:root:2020-05-25 14:19:33, Train, Epoch : 1, Step : 150, Loss : 0.93194 0.69287 0.91498 0.70769 0.71982, Acc : 0.512 0.688 0.662 0.525 0.688, Run Time : 7.08 sec
INFO:root:2020-05-25 14:19:41, Train, Epoch : 1, Step : 160, Loss : 0.73826 0.77264 0.63025 0.82073 0.72170, Acc : 0.512 0.625 0.662 0.438 0.613, Run Time : 7.08 sec
INFO:root:2020-05-25 14:19:48, Train, Epoch : 1, Step : 170, Loss : 0.88524 0.59759 0.46930 0.79653 0.76190, Acc : 0.525 0.713 0.537 0.525 0.550, Run Time : 7.07 sec
INFO:root:2020-05-25 14:19:55, Train, Epoch : 1, Step : 180, Loss : 0.75088 0.83774 0.83071 0.86089 0.81657, Acc : 0.550 0.688 0.537 0.525 0.613, Run Time : 7.09 sec
INFO:root:2020-05-25 14:20:02, Train, Epoch : 1, Step : 190, Loss : 1.07108 0.69269 0.80335 0.95113 0.82019, Acc : 0.550 0.613 0.487 0.600 0.613, Run Time : 7.10 sec
INFO:root:2020-05-25 14:20:09, Train, Epoch : 1, Step : 200, Loss : 0.85240 0.93137 0.71312 0.84391 0.81828, Acc : 0.588 0.562 0.588 0.613 0.625, Run Time : 7.08 sec
INFO:root:2020-05-25 14:20:12, Dev, Step : 200, Loss : 0.83657 0.67718 0.52614 0.78470 0.70326, Acc : 0.704 0.842 0.733 0.608 0.721, Auc : 0.748 0.849 0.716 0.748 0.748,Mean auc: 0.762 Run Time : 3.64 sec
INFO:root:2020-05-25 14:20:20, Train, Epoch : 1, Step : 210, Loss : 0.76141 0.73987 0.47077 1.01105 0.71807, Acc : 0.550 0.675 0.562 0.550 0.625, Run Time : 10.75 sec
INFO:root:2020-05-25 14:20:27, Train, Epoch : 1, Step : 220, Loss : 0.94592 0.57940 0.49383 0.73504 0.62893, Acc : 0.475 0.775 0.537 0.475 0.688, Run Time : 7.10 sec
INFO:root:2020-05-25 14:20:34, Train, Epoch : 1, Step : 230, Loss : 0.98713 0.78634 0.50784 0.96289 0.72293, Acc : 0.625 0.662 0.600 0.463 0.713, Run Time : 7.12 sec
INFO:root:2020-05-25 14:20:41, Train, Epoch : 1, Step : 240, Loss : 0.88495 0.98252 0.81514 0.91311 0.73576, Acc : 0.562 0.637 0.600 0.625 0.662, Run Time : 7.11 sec
INFO:root:2020-05-25 14:20:48, Train, Epoch : 1, Step : 250, Loss : 0.86566 0.64866 0.69226 0.86484 0.68322, Acc : 0.588 0.787 0.562 0.588 0.675, Run Time : 7.11 sec
INFO:root:2020-05-25 14:20:55, Train, Epoch : 1, Step : 260, Loss : 1.16227 0.77176 0.81763 0.83091 0.73680, Acc : 0.537 0.662 0.512 0.550 0.600, Run Time : 7.13 sec
INFO:root:2020-05-25 14:21:02, Train, Epoch : 1, Step : 270, Loss : 0.92244 0.71824 0.49902 0.71958 0.74898, Acc : 0.637 0.750 0.625 0.662 0.675, Run Time : 7.11 sec
INFO:root:2020-05-25 14:21:09, Train, Epoch : 1, Step : 280, Loss : 0.72299 0.82872 1.02927 0.89284 0.87316, Acc : 0.487 0.550 0.562 0.550 0.662, Run Time : 7.11 sec
INFO:root:2020-05-25 14:21:17, Train, Epoch : 1, Step : 290, Loss : 0.57679 0.75813 0.80775 0.74025 0.63782, Acc : 0.600 0.650 0.625 0.512 0.637, Run Time : 7.13 sec
INFO:root:2020-05-25 14:21:24, Train, Epoch : 1, Step : 300, Loss : 0.96643 0.71873 0.57979 0.69719 0.66991, Acc : 0.562 0.713 0.625 0.575 0.662, Run Time : 7.11 sec
INFO:root:2020-05-25 14:21:27, Dev, Step : 300, Loss : 0.81617 0.63708 0.53661 0.77908 0.73390, Acc : 0.704 0.583 0.729 0.583 0.721, Auc : 0.754 0.821 0.691 0.747 0.738,Mean auc: 0.750 Run Time : 3.63 sec
INFO:root:2020-05-25 14:21:34, Train, Epoch : 1, Step : 310, Loss : 0.81752 0.62970 0.59493 0.97472 0.59340, Acc : 0.550 0.688 0.575 0.450 0.675, Run Time : 10.73 sec
INFO:root:2020-05-25 14:21:41, Train, Epoch : 1, Step : 320, Loss : 0.84562 0.81368 0.72316 1.06247 0.60021, Acc : 0.613 0.762 0.575 0.537 0.650, Run Time : 7.09 sec
INFO:root:2020-05-25 14:21:49, Train, Epoch : 1, Step : 330, Loss : 0.72771 0.58675 1.11149 0.84584 0.79379, Acc : 0.588 0.688 0.562 0.675 0.512, Run Time : 7.10 sec
INFO:root:2020-05-25 14:21:56, Train, Epoch : 1, Step : 340, Loss : 0.68746 0.78868 0.52154 1.00070 0.70481, Acc : 0.575 0.688 0.600 0.537 0.662, Run Time : 7.10 sec
INFO:root:2020-05-25 14:22:03, Train, Epoch : 1, Step : 350, Loss : 1.07433 0.66091 0.65032 0.93310 0.61080, Acc : 0.575 0.713 0.650 0.525 0.675, Run Time : 7.10 sec
INFO:root:2020-05-25 14:22:10, Train, Epoch : 1, Step : 360, Loss : 0.92652 0.71743 0.67091 0.93114 0.65530, Acc : 0.625 0.662 0.562 0.512 0.637, Run Time : 7.10 sec
INFO:root:2020-05-25 14:22:17, Train, Epoch : 1, Step : 370, Loss : 0.48034 0.69861 0.64885 0.89807 0.72214, Acc : 0.575 0.738 0.650 0.438 0.688, Run Time : 7.10 sec
INFO:root:2020-05-25 14:22:24, Train, Epoch : 1, Step : 380, Loss : 0.85080 0.60367 0.57554 1.02101 0.55235, Acc : 0.662 0.700 0.575 0.537 0.713, Run Time : 7.11 sec
INFO:root:2020-05-25 14:22:31, Train, Epoch : 1, Step : 390, Loss : 0.66423 0.69915 0.60301 0.98598 0.54538, Acc : 0.675 0.625 0.512 0.550 0.750, Run Time : 7.10 sec
INFO:root:2020-05-25 14:22:38, Train, Epoch : 1, Step : 400, Loss : 1.05141 0.66416 0.70779 0.79875 0.56461, Acc : 0.575 0.637 0.525 0.562 0.750, Run Time : 7.08 sec
INFO:root:2020-05-25 14:22:42, Dev, Step : 400, Loss : 0.83283 0.59823 0.49432 0.76947 0.67068, Acc : 0.679 0.629 0.650 0.621 0.792, Auc : 0.745 0.874 0.741 0.739 0.819,Mean auc: 0.784 Run Time : 3.65 sec
INFO:root:2020-05-25 14:22:49, Train, Epoch : 1, Step : 410, Loss : 0.99725 0.60202 0.62689 0.90646 0.70845, Acc : 0.613 0.675 0.637 0.562 0.600, Run Time : 10.79 sec
INFO:root:2020-05-25 14:22:56, Train, Epoch : 1, Step : 420, Loss : 0.81341 0.62687 0.63839 0.91635 0.68631, Acc : 0.662 0.650 0.650 0.537 0.725, Run Time : 7.30 sec
INFO:root:2020-05-25 14:23:03, Train, Epoch : 1, Step : 430, Loss : 0.79406 0.73314 0.70544 0.98343 0.60261, Acc : 0.613 0.688 0.562 0.512 0.700, Run Time : 7.13 sec
INFO:root:2020-05-25 14:23:11, Train, Epoch : 1, Step : 440, Loss : 0.63901 0.62234 0.50887 0.64466 0.51211, Acc : 0.637 0.750 0.600 0.600 0.675, Run Time : 7.13 sec
INFO:root:2020-05-25 14:23:18, Train, Epoch : 1, Step : 450, Loss : 0.55632 0.90817 0.76698 0.90543 0.81131, Acc : 0.650 0.650 0.575 0.625 0.650, Run Time : 7.12 sec
INFO:root:2020-05-25 14:23:25, Train, Epoch : 1, Step : 460, Loss : 0.65415 0.73212 0.78532 0.80334 0.68576, Acc : 0.562 0.713 0.613 0.650 0.650, Run Time : 7.12 sec
INFO:root:2020-05-25 14:23:32, Train, Epoch : 1, Step : 470, Loss : 0.57117 0.66977 0.74983 0.98338 0.63385, Acc : 0.637 0.650 0.613 0.487 0.750, Run Time : 7.10 sec
INFO:root:2020-05-25 14:23:39, Train, Epoch : 1, Step : 480, Loss : 0.76663 0.56218 0.84045 0.69967 0.73706, Acc : 0.588 0.662 0.550 0.600 0.675, Run Time : 7.15 sec
INFO:root:2020-05-25 14:23:46, Train, Epoch : 1, Step : 490, Loss : 0.90171 0.87275 0.42884 0.94338 0.70495, Acc : 0.650 0.600 0.525 0.588 0.650, Run Time : 7.13 sec
INFO:root:2020-05-25 14:23:53, Train, Epoch : 1, Step : 500, Loss : 0.61070 0.76677 0.33473 0.82017 0.66591, Acc : 0.700 0.613 0.662 0.575 0.750, Run Time : 7.12 sec
INFO:root:2020-05-25 14:23:57, Dev, Step : 500, Loss : 0.90365 0.61548 0.60443 0.79699 0.77799, Acc : 0.613 0.779 0.779 0.692 0.742, Auc : 0.660 0.856 0.656 0.750 0.802,Mean auc: 0.745 Run Time : 3.63 sec
INFO:root:2020-05-25 14:24:04, Train, Epoch : 1, Step : 510, Loss : 0.75118 0.85797 0.96040 0.89254 0.59875, Acc : 0.588 0.637 0.550 0.575 0.775, Run Time : 10.75 sec
