INFO:root:2020-05-24 01:12:54, Train, Epoch : 1, Step : 10, Loss : 0.54268 0.85451 0.69802 0.84848 0.75286, Acc : 0.438 0.500 0.537 0.463 0.463, Run Time : 4.06 sec
INFO:root:2020-05-24 01:12:58, Train, Epoch : 1, Step : 20, Loss : 0.33431 0.77469 0.45043 0.96611 0.83050, Acc : 0.500 0.525 0.512 0.550 0.637, Run Time : 3.92 sec
INFO:root:2020-05-24 01:13:02, Train, Epoch : 1, Step : 30, Loss : 0.63850 0.98594 0.72593 0.98142 0.79240, Acc : 0.550 0.550 0.500 0.388 0.588, Run Time : 3.92 sec
INFO:root:2020-05-24 01:13:06, Train, Epoch : 1, Step : 40, Loss : 0.95523 0.70730 0.60305 1.02480 0.73428, Acc : 0.500 0.588 0.487 0.537 0.675, Run Time : 3.92 sec
INFO:root:2020-05-24 01:13:10, Train, Epoch : 1, Step : 50, Loss : 0.80432 0.88039 0.57116 1.11526 0.86476, Acc : 0.500 0.525 0.512 0.500 0.650, Run Time : 3.92 sec
INFO:root:2020-05-24 01:13:14, Train, Epoch : 1, Step : 60, Loss : 0.89621 0.88000 0.69909 0.80767 0.90136, Acc : 0.512 0.575 0.525 0.487 0.575, Run Time : 3.92 sec
INFO:root:2020-05-24 01:13:18, Train, Epoch : 1, Step : 70, Loss : 0.33323 0.82378 1.00114 0.97936 0.85785, Acc : 0.525 0.613 0.537 0.475 0.487, Run Time : 3.93 sec
INFO:root:2020-05-24 01:13:22, Train, Epoch : 1, Step : 80, Loss : 1.02025 1.03991 0.80629 0.97251 0.67783, Acc : 0.525 0.588 0.537 0.500 0.588, Run Time : 3.93 sec
INFO:root:2020-05-24 01:13:25, Train, Epoch : 1, Step : 90, Loss : 0.76550 0.59799 0.49961 0.73906 0.82864, Acc : 0.475 0.500 0.537 0.537 0.537, Run Time : 3.93 sec
INFO:root:2020-05-24 01:13:29, Train, Epoch : 1, Step : 100, Loss : 0.95784 0.78560 1.02899 0.86662 0.58836, Acc : 0.525 0.650 0.450 0.550 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 01:13:33, Train, Epoch : 1, Step : 110, Loss : 0.79760 0.91589 0.85915 0.82632 0.61145, Acc : 0.512 0.537 0.550 0.463 0.688, Run Time : 3.93 sec
INFO:root:2020-05-24 01:13:37, Train, Epoch : 1, Step : 120, Loss : 0.66944 0.67929 0.85518 0.85677 0.80020, Acc : 0.537 0.688 0.575 0.537 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 01:13:41, Train, Epoch : 1, Step : 130, Loss : 1.02219 0.77636 0.45126 0.91026 0.86232, Acc : 0.525 0.637 0.500 0.475 0.525, Run Time : 3.93 sec
