INFO:root:2020-05-24 01:34:55, Train, Epoch : 1, Step : 10, Loss : 0.86390 0.86124 0.65956 0.99614 0.81537, Acc : 0.525 0.525 0.487 0.575 0.512, Run Time : 4.14 sec
INFO:root:2020-05-24 01:34:59, Train, Epoch : 1, Step : 20, Loss : 0.86793 0.79764 0.93403 0.79814 0.87004, Acc : 0.500 0.562 0.562 0.463 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 01:35:03, Train, Epoch : 1, Step : 30, Loss : 0.49940 0.69325 0.89800 0.99760 0.77919, Acc : 0.525 0.625 0.438 0.575 0.450, Run Time : 3.95 sec
INFO:root:2020-05-24 01:35:07, Train, Epoch : 1, Step : 40, Loss : 0.83877 0.73892 0.72806 0.90904 0.78835, Acc : 0.412 0.512 0.550 0.512 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 01:35:11, Train, Epoch : 1, Step : 50, Loss : 0.78446 0.88461 0.61556 1.00963 0.69391, Acc : 0.562 0.613 0.575 0.537 0.575, Run Time : 3.96 sec
INFO:root:2020-05-24 01:35:15, Train, Epoch : 1, Step : 60, Loss : 0.79577 0.71973 0.72468 0.78799 0.84082, Acc : 0.625 0.700 0.537 0.575 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 01:35:19, Train, Epoch : 1, Step : 70, Loss : 1.00811 0.94840 0.92914 1.10651 0.58331, Acc : 0.562 0.637 0.550 0.400 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 01:35:23, Train, Epoch : 1, Step : 80, Loss : 0.48062 0.83527 0.88121 1.01940 0.71605, Acc : 0.525 0.562 0.525 0.500 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 01:35:27, Train, Epoch : 1, Step : 90, Loss : 1.08810 0.68873 0.94105 0.70006 0.73182, Acc : 0.475 0.688 0.500 0.487 0.588, Run Time : 3.95 sec
INFO:root:2020-05-24 01:35:31, Train, Epoch : 1, Step : 100, Loss : 0.47764 0.78804 0.98292 0.83005 0.90874, Acc : 0.500 0.613 0.500 0.525 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 01:35:35, Train, Epoch : 1, Step : 110, Loss : 1.00360 0.72345 0.89180 1.12860 0.71225, Acc : 0.537 0.637 0.537 0.562 0.700, Run Time : 3.95 sec
INFO:root:2020-05-24 01:35:39, Train, Epoch : 1, Step : 120, Loss : 0.86681 0.81704 0.63432 0.90752 0.64724, Acc : 0.512 0.613 0.537 0.500 0.600, Run Time : 3.94 sec
