INFO:root:2020-05-24 02:18:58, Train, Epoch : 1, Step : 10, Loss : 1.13324 0.78217 0.75801 0.64538 0.86678, Acc : 0.487 0.562 0.550 0.438 0.525, Run Time : 4.15 sec
INFO:root:2020-05-24 02:19:02, Train, Epoch : 1, Step : 20, Loss : 0.76533 0.74378 0.89297 0.77210 0.98759, Acc : 0.550 0.588 0.500 0.487 0.512, Run Time : 3.94 sec
INFO:root:2020-05-24 02:19:06, Train, Epoch : 1, Step : 30, Loss : 0.91046 0.80733 0.56326 0.83249 0.68279, Acc : 0.575 0.600 0.512 0.600 0.637, Run Time : 3.93 sec
INFO:root:2020-05-24 02:19:10, Train, Epoch : 1, Step : 40, Loss : 0.85366 0.79603 0.53585 0.90826 0.91320, Acc : 0.537 0.625 0.487 0.500 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 02:19:14, Train, Epoch : 1, Step : 50, Loss : 0.71201 0.96685 0.66646 0.96522 0.92910, Acc : 0.500 0.613 0.550 0.500 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:18, Train, Epoch : 1, Step : 60, Loss : 0.75191 0.54180 0.84335 0.87257 0.81629, Acc : 0.512 0.688 0.487 0.512 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:21, Train, Epoch : 1, Step : 70, Loss : 0.85738 0.66405 0.68995 0.93907 0.61193, Acc : 0.475 0.637 0.575 0.500 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 02:19:25, Train, Epoch : 1, Step : 80, Loss : 1.00376 0.66803 0.77752 0.93775 0.63548, Acc : 0.537 0.700 0.550 0.613 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 02:19:29, Train, Epoch : 1, Step : 90, Loss : 0.79848 0.72806 1.00046 0.70110 0.93648, Acc : 0.550 0.662 0.500 0.613 0.537, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:33, Train, Epoch : 1, Step : 100, Loss : 1.11138 0.89118 0.57919 0.87110 0.64353, Acc : 0.537 0.637 0.575 0.475 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:37, Train, Epoch : 1, Step : 110, Loss : 0.97374 0.90197 0.61748 0.81225 0.78738, Acc : 0.512 0.600 0.537 0.463 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:41, Train, Epoch : 1, Step : 120, Loss : 0.66409 0.78458 0.75666 1.00801 0.93560, Acc : 0.588 0.662 0.525 0.525 0.512, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:45, Train, Epoch : 1, Step : 130, Loss : 0.70403 0.77551 0.45264 0.94965 0.50272, Acc : 0.512 0.738 0.575 0.525 0.750, Run Time : 3.94 sec
INFO:root:2020-05-24 02:19:49, Train, Epoch : 1, Step : 140, Loss : 0.88539 0.87796 0.45332 0.91140 0.71868, Acc : 0.562 0.650 0.537 0.537 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:53, Train, Epoch : 1, Step : 150, Loss : 0.86253 0.83651 0.86305 0.82519 0.65918, Acc : 0.525 0.637 0.588 0.550 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 02:19:57, Train, Epoch : 1, Step : 160, Loss : 0.78272 0.92510 0.60211 0.91970 0.65431, Acc : 0.562 0.562 0.500 0.600 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 02:20:01, Train, Epoch : 1, Step : 170, Loss : 0.71735 0.97312 0.90286 0.84692 0.73717, Acc : 0.588 0.562 0.500 0.537 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 02:20:05, Train, Epoch : 1, Step : 180, Loss : 0.84918 0.82561 0.30927 0.74814 0.64302, Acc : 0.487 0.575 0.512 0.600 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 02:20:09, Train, Epoch : 1, Step : 190, Loss : 0.85791 0.72394 0.93646 0.94747 0.75539, Acc : 0.475 0.613 0.500 0.550 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 02:20:13, Train, Epoch : 1, Step : 200, Loss : 0.90460 0.67891 0.62113 0.78534 0.68000, Acc : 0.562 0.613 0.613 0.500 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 02:20:17, Train, Epoch : 1, Step : 210, Loss : 0.70960 0.73215 0.38739 0.74912 0.69473, Acc : 0.600 0.662 0.525 0.588 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 02:20:21, Train, Epoch : 1, Step : 220, Loss : 0.95185 0.51635 0.68123 0.78632 0.62633, Acc : 0.487 0.738 0.537 0.600 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 02:20:25, Train, Epoch : 1, Step : 230, Loss : 0.83513 0.97509 0.64826 0.84780 0.64601, Acc : 0.562 0.675 0.512 0.588 0.662, Run Time : 3.95 sec
