INFO:root:2020-05-24 03:25:03, Train, Epoch : 1, Step : 10, Loss : 1.00507 0.88625 0.74898 0.88605 0.84182, Acc : 0.575 0.600 0.450 0.550 0.537, Run Time : 4.12 sec
INFO:root:2020-05-24 03:25:07, Train, Epoch : 1, Step : 20, Loss : 0.73649 0.82579 0.99019 0.89978 0.75723, Acc : 0.450 0.637 0.500 0.388 0.500, Run Time : 3.94 sec
INFO:root:2020-05-24 03:25:11, Train, Epoch : 1, Step : 30, Loss : 1.06754 0.62031 0.71114 1.02603 0.69742, Acc : 0.550 0.625 0.487 0.575 0.500, Run Time : 3.94 sec
INFO:root:2020-05-24 03:25:15, Train, Epoch : 1, Step : 40, Loss : 0.78875 1.03596 0.58942 0.73921 0.83590, Acc : 0.525 0.463 0.537 0.487 0.550, Run Time : 3.94 sec
INFO:root:2020-05-24 03:25:19, Train, Epoch : 1, Step : 50, Loss : 0.88381 0.76984 0.49482 0.74242 0.92697, Acc : 0.525 0.588 0.438 0.550 0.512, Run Time : 3.94 sec
INFO:root:2020-05-24 03:25:23, Train, Epoch : 1, Step : 60, Loss : 0.93920 0.79384 0.82513 0.89422 0.76613, Acc : 0.463 0.537 0.537 0.537 0.550, Run Time : 3.94 sec
INFO:root:2020-05-24 03:25:27, Train, Epoch : 1, Step : 70, Loss : 0.85537 0.80442 0.58242 0.95897 0.74203, Acc : 0.600 0.625 0.475 0.487 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 03:25:31, Train, Epoch : 1, Step : 80, Loss : 1.18488 0.91723 0.56850 0.88681 0.88698, Acc : 0.438 0.600 0.487 0.550 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:25:35, Train, Epoch : 1, Step : 90, Loss : 0.86206 0.72696 0.77608 0.88732 0.64556, Acc : 0.600 0.637 0.525 0.512 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 03:25:39, Train, Epoch : 1, Step : 100, Loss : 0.74781 0.75504 0.82102 1.08569 0.74386, Acc : 0.537 0.588 0.475 0.537 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:25:43, Train, Epoch : 1, Step : 110, Loss : 0.82209 0.85374 0.81733 0.99500 0.91274, Acc : 0.487 0.688 0.588 0.537 0.550, Run Time : 3.95 sec
INFO:root:2020-05-24 03:25:47, Train, Epoch : 1, Step : 120, Loss : 0.76000 0.70867 0.57976 0.80067 0.85468, Acc : 0.575 0.650 0.525 0.537 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 03:25:50, Train, Epoch : 1, Step : 130, Loss : 0.85653 0.82573 0.45345 0.79808 0.64369, Acc : 0.525 0.662 0.525 0.575 0.637, Run Time : 3.93 sec
INFO:root:2020-05-24 03:25:54, Train, Epoch : 1, Step : 140, Loss : 0.95685 0.64773 0.69765 0.79919 0.65882, Acc : 0.475 0.738 0.575 0.525 0.700, Run Time : 3.95 sec
INFO:root:2020-05-24 03:25:58, Train, Epoch : 1, Step : 150, Loss : 0.60777 0.78065 0.75441 0.96849 0.68966, Acc : 0.475 0.688 0.537 0.500 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:02, Train, Epoch : 1, Step : 160, Loss : 0.91264 0.87160 0.88918 1.01610 0.79220, Acc : 0.487 0.637 0.512 0.475 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 03:26:06, Train, Epoch : 1, Step : 170, Loss : 0.86221 1.00758 0.43245 0.84453 0.65362, Acc : 0.512 0.588 0.537 0.400 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 03:26:10, Train, Epoch : 1, Step : 180, Loss : 0.85195 0.47998 0.51124 0.90367 0.72299, Acc : 0.637 0.688 0.475 0.512 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:14, Train, Epoch : 1, Step : 190, Loss : 0.94098 0.79158 0.74944 0.91097 0.64647, Acc : 0.537 0.688 0.575 0.500 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:18, Train, Epoch : 1, Step : 200, Loss : 0.93799 0.69553 0.71615 0.89837 0.59394, Acc : 0.575 0.662 0.613 0.512 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 03:26:22, Train, Epoch : 1, Step : 210, Loss : 0.95099 0.75902 0.75594 1.04514 0.63848, Acc : 0.537 0.688 0.487 0.500 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:26, Train, Epoch : 1, Step : 220, Loss : 0.82814 0.79860 0.68409 0.85730 0.70225, Acc : 0.613 0.575 0.562 0.537 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:30, Train, Epoch : 1, Step : 230, Loss : 1.16589 0.60242 0.44577 0.82860 0.80493, Acc : 0.487 0.662 0.537 0.537 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:34, Train, Epoch : 1, Step : 240, Loss : 0.78809 0.56632 0.68365 0.94371 0.68016, Acc : 0.575 0.688 0.487 0.438 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:38, Train, Epoch : 1, Step : 250, Loss : 0.86696 0.75675 0.81613 0.90177 0.80596, Acc : 0.537 0.625 0.512 0.575 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:42, Train, Epoch : 1, Step : 260, Loss : 0.67706 0.82455 0.62080 0.98089 0.66136, Acc : 0.575 0.613 0.550 0.550 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:46, Train, Epoch : 1, Step : 270, Loss : 0.70707 0.66658 0.65744 0.87114 0.82662, Acc : 0.512 0.575 0.562 0.575 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:50, Train, Epoch : 1, Step : 280, Loss : 0.94233 0.62022 0.57424 0.85372 0.86023, Acc : 0.487 0.812 0.537 0.487 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:54, Train, Epoch : 1, Step : 290, Loss : 0.71451 0.97364 0.89059 0.94704 0.61385, Acc : 0.550 0.625 0.562 0.562 0.613, Run Time : 3.94 sec
INFO:root:2020-05-24 03:26:58, Train, Epoch : 1, Step : 300, Loss : 0.72714 0.59525 0.68665 0.93897 0.76743, Acc : 0.637 0.637 0.562 0.487 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:01, Train, Epoch : 1, Step : 310, Loss : 1.01074 0.81134 0.71154 0.99745 0.70033, Acc : 0.575 0.625 0.562 0.463 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:05, Train, Epoch : 1, Step : 320, Loss : 0.68243 0.53887 0.91863 0.94742 0.59725, Acc : 0.613 0.650 0.562 0.550 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:09, Train, Epoch : 1, Step : 330, Loss : 0.67777 0.60700 0.36705 0.99251 0.75285, Acc : 0.675 0.688 0.487 0.500 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:13, Train, Epoch : 1, Step : 340, Loss : 0.97286 0.69661 1.03624 1.09681 0.65565, Acc : 0.562 0.688 0.463 0.575 0.650, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:17, Train, Epoch : 1, Step : 350, Loss : 0.61286 0.81956 0.56809 0.82882 0.78557, Acc : 0.650 0.650 0.600 0.550 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:21, Train, Epoch : 1, Step : 360, Loss : 0.79086 0.64091 0.77960 0.63901 0.65198, Acc : 0.550 0.700 0.475 0.537 0.713, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:25, Train, Epoch : 1, Step : 370, Loss : 0.79609 1.07926 0.48649 0.98168 0.68381, Acc : 0.637 0.575 0.562 0.412 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:29, Train, Epoch : 1, Step : 380, Loss : 0.55260 0.71267 0.25850 0.65671 0.74141, Acc : 0.613 0.625 0.512 0.550 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:33, Train, Epoch : 1, Step : 390, Loss : 0.91648 0.79642 0.27604 0.77477 0.67483, Acc : 0.588 0.688 0.525 0.562 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:37, Train, Epoch : 1, Step : 400, Loss : 0.70420 0.68379 0.39103 0.71862 0.65290, Acc : 0.600 0.625 0.550 0.600 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:41, Train, Epoch : 1, Step : 410, Loss : 0.84616 0.61325 0.97580 1.05998 0.78041, Acc : 0.713 0.713 0.600 0.487 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:45, Train, Epoch : 1, Step : 420, Loss : 0.65772 0.82795 0.80673 0.91324 0.70398, Acc : 0.725 0.625 0.550 0.512 0.738, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:49, Train, Epoch : 1, Step : 430, Loss : 0.75724 0.98090 0.89020 1.05736 0.70042, Acc : 0.575 0.637 0.512 0.450 0.613, Run Time : 3.95 sec
INFO:root:2020-05-24 03:27:53, Train, Epoch : 1, Step : 440, Loss : 0.83433 0.71217 1.00447 0.83432 0.58167, Acc : 0.662 0.650 0.562 0.537 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 03:27:57, Train, Epoch : 1, Step : 450, Loss : 0.72486 0.60282 0.44862 0.80338 0.66908, Acc : 0.600 0.738 0.600 0.613 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 03:28:01, Train, Epoch : 1, Step : 460, Loss : 0.94518 0.81819 0.81844 0.88485 0.59839, Acc : 0.650 0.675 0.575 0.550 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 03:28:05, Train, Epoch : 1, Step : 470, Loss : 0.55347 0.89371 0.73579 0.98723 0.56609, Acc : 0.675 0.700 0.550 0.600 0.775, Run Time : 3.94 sec
