INFO:root:2020-05-24 04:06:59, Train, Epoch : 1, Step : 10, Loss : 0.92086 0.91076 1.00219 1.00014 0.71857, Acc : 0.487 0.562 0.487 0.500 0.575, Run Time : 4.13 sec
INFO:root:2020-05-24 04:07:02, Train, Epoch : 1, Step : 20, Loss : 0.81320 0.77243 0.57380 0.96239 0.77871, Acc : 0.463 0.588 0.500 0.500 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:06, Train, Epoch : 1, Step : 30, Loss : 0.89721 0.71939 0.73883 0.99492 0.76880, Acc : 0.525 0.675 0.475 0.475 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:10, Train, Epoch : 1, Step : 40, Loss : 0.94009 0.82116 0.69879 1.05217 0.78395, Acc : 0.575 0.662 0.487 0.525 0.600, Run Time : 3.95 sec
INFO:root:2020-05-24 04:07:14, Train, Epoch : 1, Step : 50, Loss : 0.93050 0.63511 0.50859 0.87719 0.64208, Acc : 0.525 0.650 0.438 0.487 0.588, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:18, Train, Epoch : 1, Step : 60, Loss : 1.06135 0.64559 0.80369 0.93306 0.67661, Acc : 0.613 0.725 0.438 0.588 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:22, Train, Epoch : 1, Step : 70, Loss : 1.02309 0.80602 0.73349 0.92319 0.89164, Acc : 0.463 0.613 0.575 0.562 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:26, Train, Epoch : 1, Step : 80, Loss : 0.97634 0.64867 0.60325 1.01029 0.71865, Acc : 0.500 0.688 0.438 0.562 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:30, Train, Epoch : 1, Step : 90, Loss : 0.79490 0.86405 0.61093 0.77699 0.61019, Acc : 0.575 0.625 0.575 0.562 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:34, Train, Epoch : 1, Step : 100, Loss : 0.62046 0.50959 0.30324 0.93251 0.76716, Acc : 0.537 0.787 0.463 0.588 0.600, Run Time : 3.93 sec
INFO:root:2020-05-24 04:07:38, Train, Epoch : 1, Step : 110, Loss : 0.78549 0.44929 0.51841 0.84553 0.79157, Acc : 0.550 0.713 0.500 0.613 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:42, Train, Epoch : 1, Step : 120, Loss : 1.08601 0.75789 0.54687 1.01594 0.69842, Acc : 0.512 0.600 0.487 0.512 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:46, Train, Epoch : 1, Step : 130, Loss : 0.96951 0.81757 0.34085 1.14155 0.88843, Acc : 0.512 0.675 0.562 0.450 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:50, Train, Epoch : 1, Step : 140, Loss : 0.97753 0.77873 0.90149 0.71135 0.62124, Acc : 0.487 0.688 0.537 0.588 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:54, Train, Epoch : 1, Step : 150, Loss : 0.94019 0.72781 0.71800 0.80122 0.78650, Acc : 0.487 0.700 0.588 0.512 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 04:07:58, Train, Epoch : 1, Step : 160, Loss : 0.80304 0.76021 0.58006 0.79586 0.82940, Acc : 0.625 0.575 0.588 0.550 0.575, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:02, Train, Epoch : 1, Step : 170, Loss : 0.98954 0.75833 0.41692 1.10779 0.77184, Acc : 0.550 0.700 0.537 0.438 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:06, Train, Epoch : 1, Step : 180, Loss : 0.70808 0.66090 0.71843 0.84365 0.65637, Acc : 0.637 0.613 0.550 0.550 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:09, Train, Epoch : 1, Step : 190, Loss : 0.64442 0.76279 0.30522 0.89207 0.64690, Acc : 0.575 0.688 0.575 0.537 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:13, Train, Epoch : 1, Step : 200, Loss : 0.87938 0.64866 0.59304 0.79999 0.77479, Acc : 0.588 0.750 0.550 0.487 0.613, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:17, Train, Epoch : 1, Step : 210, Loss : 0.94376 0.66449 0.76810 1.00354 0.82987, Acc : 0.675 0.762 0.500 0.525 0.562, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:21, Train, Epoch : 1, Step : 220, Loss : 1.01590 0.72603 0.43973 0.68167 0.54612, Acc : 0.575 0.738 0.575 0.637 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:25, Train, Epoch : 1, Step : 230, Loss : 0.70241 0.71263 0.25879 0.75529 0.72419, Acc : 0.550 0.725 0.600 0.613 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:29, Train, Epoch : 1, Step : 240, Loss : 0.92190 0.72773 0.46757 0.69022 0.81281, Acc : 0.600 0.700 0.500 0.650 0.600, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:33, Train, Epoch : 1, Step : 250, Loss : 0.84297 0.63781 0.96706 0.97149 0.78597, Acc : 0.700 0.738 0.487 0.475 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 04:08:37, Train, Epoch : 1, Step : 260, Loss : 0.99356 0.73063 0.34064 0.87720 0.75723, Acc : 0.662 0.713 0.600 0.550 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:41, Train, Epoch : 1, Step : 270, Loss : 0.84358 0.65534 0.42215 0.93794 0.71537, Acc : 0.613 0.650 0.525 0.537 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:45, Train, Epoch : 1, Step : 280, Loss : 0.96879 0.71092 0.35645 0.93517 0.85776, Acc : 0.637 0.637 0.600 0.600 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:49, Train, Epoch : 1, Step : 290, Loss : 0.89920 0.60010 0.53296 0.86797 0.71084, Acc : 0.650 0.738 0.487 0.512 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:08:53, Train, Epoch : 1, Step : 300, Loss : 0.84501 0.79376 0.57616 0.76076 0.71143, Acc : 0.600 0.675 0.500 0.575 0.738, Run Time : 3.95 sec
INFO:root:2020-05-24 04:08:57, Train, Epoch : 1, Step : 310, Loss : 0.55901 0.77642 0.56325 0.88072 0.50262, Acc : 0.613 0.688 0.600 0.525 0.713, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:01, Train, Epoch : 1, Step : 320, Loss : 0.92367 0.60736 0.52494 0.83599 0.81885, Acc : 0.600 0.700 0.500 0.562 0.637, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:05, Train, Epoch : 1, Step : 330, Loss : 0.85426 0.67769 0.46798 0.70308 0.85640, Acc : 0.588 0.738 0.537 0.613 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:09, Train, Epoch : 1, Step : 340, Loss : 0.88664 0.78915 0.75576 0.90679 0.73214, Acc : 0.637 0.675 0.550 0.613 0.725, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:13, Train, Epoch : 1, Step : 350, Loss : 0.76954 0.56373 0.46504 0.58876 0.78456, Acc : 0.700 0.688 0.500 0.575 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:17, Train, Epoch : 1, Step : 360, Loss : 0.53283 0.61612 0.38347 0.82319 0.66056, Acc : 0.550 0.750 0.550 0.600 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:20, Train, Epoch : 1, Step : 370, Loss : 0.87352 0.74353 0.60781 0.71330 0.57615, Acc : 0.588 0.675 0.613 0.588 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:24, Train, Epoch : 1, Step : 380, Loss : 0.87505 0.66963 0.44537 0.97361 0.51021, Acc : 0.600 0.700 0.588 0.600 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:28, Train, Epoch : 1, Step : 390, Loss : 0.97848 0.84636 0.66639 0.78108 0.69446, Acc : 0.537 0.675 0.588 0.600 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:32, Train, Epoch : 1, Step : 400, Loss : 0.83817 0.82242 0.29266 1.02690 0.69504, Acc : 0.600 0.688 0.662 0.550 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:36, Train, Epoch : 1, Step : 410, Loss : 0.85015 0.61217 0.85312 0.76088 0.77643, Acc : 0.688 0.738 0.537 0.475 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:40, Train, Epoch : 1, Step : 420, Loss : 0.78246 0.75760 0.71179 0.83976 0.73356, Acc : 0.637 0.625 0.588 0.412 0.700, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:44, Train, Epoch : 1, Step : 430, Loss : 0.71855 0.56306 0.14599 0.74999 0.78722, Acc : 0.650 0.688 0.575 0.575 0.637, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:48, Train, Epoch : 1, Step : 440, Loss : 0.89588 0.58886 0.64586 0.96352 0.55524, Acc : 0.613 0.637 0.625 0.525 0.787, Run Time : 3.94 sec
INFO:root:2020-05-24 04:09:52, Train, Epoch : 1, Step : 450, Loss : 0.84876 0.60084 0.99919 0.98908 0.77886, Acc : 0.588 0.725 0.613 0.475 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 04:09:56, Train, Epoch : 1, Step : 460, Loss : 0.81869 0.58667 0.54098 0.88041 0.65192, Acc : 0.637 0.713 0.525 0.562 0.613, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:00, Train, Epoch : 1, Step : 470, Loss : 0.72962 0.63128 0.08780 0.68751 0.61192, Acc : 0.688 0.700 0.575 0.675 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:04, Train, Epoch : 1, Step : 480, Loss : 0.67349 0.53484 0.35153 0.89123 0.62551, Acc : 0.725 0.750 0.588 0.550 0.625, Run Time : 3.95 sec
INFO:root:2020-05-24 04:10:08, Train, Epoch : 1, Step : 490, Loss : 0.57670 0.83125 0.90182 0.99678 0.67743, Acc : 0.525 0.662 0.550 0.575 0.688, Run Time : 3.95 sec
INFO:root:2020-05-24 04:10:12, Train, Epoch : 1, Step : 500, Loss : 1.13473 0.68970 0.75601 0.73275 0.70894, Acc : 0.537 0.688 0.487 0.487 0.738, Run Time : 3.95 sec
INFO:root:2020-05-24 04:10:16, Train, Epoch : 1, Step : 510, Loss : 1.05338 0.64525 0.65090 0.86291 0.56269, Acc : 0.637 0.625 0.525 0.537 0.812, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:20, Train, Epoch : 1, Step : 520, Loss : 0.84212 0.88349 0.69264 0.68583 0.56799, Acc : 0.600 0.688 0.650 0.625 0.738, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:24, Train, Epoch : 1, Step : 530, Loss : 0.60420 0.71882 0.78743 0.97553 0.40454, Acc : 0.588 0.738 0.475 0.613 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:28, Train, Epoch : 1, Step : 540, Loss : 0.58505 0.65151 0.52389 0.83047 0.57414, Acc : 0.650 0.725 0.575 0.562 0.775, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:31, Train, Epoch : 1, Step : 550, Loss : 1.02080 0.43174 0.36699 0.83064 0.61353, Acc : 0.562 0.713 0.525 0.550 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:35, Train, Epoch : 1, Step : 560, Loss : 0.73782 0.75081 0.53766 0.84518 0.62179, Acc : 0.575 0.738 0.562 0.637 0.762, Run Time : 3.95 sec
INFO:root:2020-05-24 04:10:39, Train, Epoch : 1, Step : 570, Loss : 0.75794 0.79355 0.49643 0.93228 0.72297, Acc : 0.637 0.662 0.575 0.537 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 04:10:43, Train, Epoch : 1, Step : 580, Loss : 0.88837 0.52558 0.72843 0.78276 0.66588, Acc : 0.588 0.613 0.613 0.512 0.713, Run Time : 3.95 sec
INFO:root:2020-05-24 04:10:47, Train, Epoch : 1, Step : 590, Loss : 0.60521 0.51047 0.78498 0.90543 0.56849, Acc : 0.675 0.713 0.575 0.525 0.650, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:51, Train, Epoch : 1, Step : 600, Loss : 0.85423 0.77378 0.53509 0.84555 0.55991, Acc : 0.650 0.613 0.575 0.525 0.738, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:55, Train, Epoch : 1, Step : 610, Loss : 0.81015 0.50893 0.34422 0.79002 0.55724, Acc : 0.588 0.600 0.512 0.562 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:10:59, Train, Epoch : 1, Step : 620, Loss : 0.79857 0.50752 0.30753 0.83829 0.55723, Acc : 0.650 0.812 0.600 0.588 0.713, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:03, Train, Epoch : 1, Step : 630, Loss : 0.49607 0.91266 0.67637 0.93969 0.60932, Acc : 0.613 0.625 0.550 0.550 0.775, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:07, Train, Epoch : 1, Step : 640, Loss : 0.61171 0.73014 0.28329 0.90792 0.60465, Acc : 0.700 0.675 0.637 0.613 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:11, Train, Epoch : 1, Step : 650, Loss : 0.99799 0.73925 0.85069 0.88762 0.63098, Acc : 0.600 0.738 0.537 0.588 0.750, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:15, Train, Epoch : 1, Step : 660, Loss : 0.84619 0.75488 0.36738 0.87384 0.59010, Acc : 0.637 0.625 0.588 0.550 0.662, Run Time : 3.95 sec
INFO:root:2020-05-24 04:11:19, Train, Epoch : 1, Step : 670, Loss : 0.62853 0.74595 0.77434 0.69652 0.75139, Acc : 0.650 0.725 0.537 0.600 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:23, Train, Epoch : 1, Step : 680, Loss : 0.79673 0.63827 0.71853 0.89079 0.67351, Acc : 0.725 0.713 0.600 0.575 0.625, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:27, Train, Epoch : 1, Step : 690, Loss : 0.77373 0.66322 0.74582 0.95762 0.51100, Acc : 0.750 0.738 0.600 0.588 0.738, Run Time : 3.95 sec
INFO:root:2020-05-24 04:11:31, Train, Epoch : 1, Step : 700, Loss : 0.82429 0.72187 0.75773 0.75841 0.73027, Acc : 0.700 0.700 0.525 0.475 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 04:11:35, Train, Epoch : 1, Step : 710, Loss : 0.68659 0.80197 0.43178 0.79544 0.63182, Acc : 0.675 0.613 0.487 0.662 0.675, Run Time : 3.95 sec
INFO:root:2020-05-24 04:11:38, Train, Epoch : 1, Step : 720, Loss : 0.84459 0.55385 0.97628 0.87726 0.42259, Acc : 0.675 0.700 0.637 0.537 0.762, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:42, Train, Epoch : 1, Step : 730, Loss : 0.58134 0.81443 0.53096 0.86524 0.50776, Acc : 0.725 0.675 0.537 0.500 0.738, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:46, Train, Epoch : 1, Step : 740, Loss : 1.01732 0.66657 0.60275 0.84835 0.87272, Acc : 0.650 0.725 0.500 0.575 0.613, Run Time : 3.93 sec
INFO:root:2020-05-24 04:11:50, Train, Epoch : 1, Step : 750, Loss : 0.79156 0.75852 0.76924 0.62745 0.55800, Acc : 0.637 0.650 0.525 0.575 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:54, Train, Epoch : 1, Step : 760, Loss : 0.83233 0.61347 0.65136 0.86059 0.59850, Acc : 0.613 0.713 0.525 0.625 0.700, Run Time : 3.94 sec
INFO:root:2020-05-24 04:11:58, Train, Epoch : 1, Step : 770, Loss : 0.57502 0.66209 0.14823 0.84932 0.64854, Acc : 0.650 0.675 0.562 0.613 0.662, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:02, Train, Epoch : 1, Step : 780, Loss : 0.77113 0.70316 0.85219 1.01619 0.58394, Acc : 0.637 0.713 0.537 0.613 0.762, Run Time : 3.95 sec
INFO:root:2020-05-24 04:12:06, Train, Epoch : 1, Step : 790, Loss : 0.68821 0.64637 0.45749 1.00793 0.62553, Acc : 0.725 0.800 0.550 0.537 0.762, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:10, Train, Epoch : 1, Step : 800, Loss : 0.69596 0.68270 0.40210 0.86044 0.71246, Acc : 0.700 0.675 0.537 0.575 0.675, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:14, Train, Epoch : 1, Step : 810, Loss : 0.48459 0.55152 0.78547 0.83226 0.69522, Acc : 0.750 0.725 0.588 0.525 0.637, Run Time : 3.93 sec
INFO:root:2020-05-24 04:12:18, Train, Epoch : 1, Step : 820, Loss : 0.74265 0.55464 0.78676 0.80979 0.58793, Acc : 0.650 0.662 0.537 0.562 0.688, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:22, Train, Epoch : 1, Step : 830, Loss : 0.65632 0.67789 0.39121 0.75543 0.76339, Acc : 0.600 0.688 0.525 0.613 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:26, Train, Epoch : 1, Step : 840, Loss : 0.67776 0.67661 0.64259 0.96920 0.54680, Acc : 0.688 0.750 0.562 0.512 0.762, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:30, Train, Epoch : 1, Step : 850, Loss : 0.72801 0.51064 0.61756 0.80665 0.62233, Acc : 0.662 0.713 0.662 0.562 0.750, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:34, Train, Epoch : 1, Step : 860, Loss : 0.70443 0.65366 0.73163 0.77291 0.55728, Acc : 0.688 0.762 0.637 0.637 0.725, Run Time : 3.94 sec
INFO:root:2020-05-24 04:12:38, Train, Epoch : 1, Step : 870, Loss : 0.59861 0.70016 0.39326 0.80836 0.53671, Acc : 0.762 0.700 0.525 0.675 0.800, Run Time : 3.94 sec
