INFO:root:2020-05-15 15:29:03, Train, Epoch : 1, Step : 10, Loss : 0.89812 0.82843 0.63659 1.03009 0.88867, Acc : 0.512 0.500 0.438 0.450 0.500, Run Time : 4.97 sec
INFO:root:2020-05-15 15:29:06, Train, Epoch : 1, Step : 20, Loss : 0.92584 0.91559 0.73041 0.79013 0.83783, Acc : 0.562 0.575 0.525 0.475 0.475, Run Time : 3.00 sec
INFO:root:2020-05-15 15:29:09, Train, Epoch : 1, Step : 30, Loss : 0.75466 0.85743 0.60870 1.06533 0.86754, Acc : 0.575 0.562 0.450 0.537 0.463, Run Time : 3.07 sec
INFO:root:2020-05-15 15:29:12, Train, Epoch : 1, Step : 40, Loss : 0.80666 0.70020 0.78753 0.87539 0.81789, Acc : 0.588 0.525 0.512 0.425 0.537, Run Time : 3.05 sec
INFO:root:2020-05-15 15:29:15, Train, Epoch : 1, Step : 50, Loss : 0.77220 0.68556 0.42148 0.99015 1.09453, Acc : 0.562 0.625 0.475 0.525 0.613, Run Time : 2.95 sec
INFO:root:2020-05-15 15:29:18, Train, Epoch : 1, Step : 60, Loss : 0.81223 0.81285 1.09160 0.81659 0.95358, Acc : 0.575 0.575 0.438 0.525 0.512, Run Time : 2.98 sec
INFO:root:2020-05-15 15:29:21, Train, Epoch : 1, Step : 70, Loss : 0.92331 0.62403 0.42787 0.85026 0.63022, Acc : 0.562 0.588 0.388 0.487 0.637, Run Time : 2.98 sec
INFO:root:2020-05-15 15:29:24, Train, Epoch : 1, Step : 80, Loss : 0.84510 0.71855 0.67726 0.93090 0.70292, Acc : 0.575 0.650 0.450 0.512 0.600, Run Time : 2.96 sec
INFO:root:2020-05-15 15:29:27, Train, Epoch : 1, Step : 90, Loss : 1.03646 0.58949 0.45794 1.02622 0.92219, Acc : 0.562 0.637 0.475 0.550 0.487, Run Time : 2.95 sec
INFO:root:2020-05-15 15:29:30, Train, Epoch : 1, Step : 100, Loss : 0.91752 0.76607 0.64737 0.76445 0.80989, Acc : 0.512 0.625 0.438 0.588 0.550, Run Time : 2.97 sec
INFO:root:2020-05-15 15:29:33, Train, Epoch : 1, Step : 110, Loss : 0.85160 0.66096 0.50700 0.70821 0.79673, Acc : 0.512 0.625 0.425 0.575 0.675, Run Time : 3.01 sec
